Name,Group,SMARTS,Author,Article,Alert_ID,Endpoint,Endpoint_index
Ketenes,R = any atom/ group,[CX3]=[CX2]=[OX1],"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA605,Acute_Aquatic_Toxicity,0
Acid halides,"R = any atom/ group; X = F, Cl, Br, I","[Br,Cl,F,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA606,Acute_Aquatic_Toxicity,0
Carboxylic acid anhydrides,SMARTS: ,"[$([#6]1[CX3](=[OX1])[OX2][CX3](=[OX1])[#6]1),$([#6]1[CX3](=[OX1])[OX2][CX3](=[OX1])[#6][#6]1)]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA607,Acute_Aquatic_Toxicity,0
Dialkyl carbamoylchloride,R = alkyl,[NX3]([CX4])([CX4])[CX3](=[OX1])Cl,"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA608,Acute_Aquatic_Toxicity,0
Isocyanate,R = any atom/ group,[NX2]=[CX2]=[OX1],"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA609,Acute_Aquatic_Toxicity,0
Isothiocyanate,R = any atom/ group,[NX2]=[CX2]=[SX1],"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA610,Acute_Aquatic_Toxicity,0
Aldehydes,R = hydrogen or any carbon atom,"[#6,#1][CX3]([H])=[OX1]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA611,Acute_Aquatic_Toxicity,0
Lactones,SMARTS: ,"[$([#6&!$(C=[O,N,S])]1[OX2][CX3](=[OX1])[#6]1),$([#6&!$(C=[O,N,S])]1[OX2][CX3](=[OX1])[#6][#6]1)]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA612,Acute_Aquatic_Toxicity,0
Epoxides,R = any atom/ group,[CX4]1[OX2][CX4]1,"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA613,Acute_Aquatic_Toxicity,0
Aziridines,SMARTS: ,[CX4]1[NX3][CX4]1,"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA614,Acute_Aquatic_Toxicity,0
Sulfonic acid esters,R = any carbon atom,[#6][Sv6X4!R](=[OX1])(=[OX1])[OX2!R][#6],"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA615,Acute_Aquatic_Toxicity,0
Sulfuric acid esters,R = any carbon atom,[#6][OX2!R][Sv6X4!R](=[OX1])(=[OX1])[OX2!R][#6],"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA616,Acute_Aquatic_Toxicity,0
Phosphoric acid ester,R = any carbon atom,[Pv5X4]([OX2][#6])([OX2][#6])([OX2][#6])(=[OX1]),"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA617,Acute_Aquatic_Toxicity,0
Cyclic sulfonic acid esters,SMARTS: ,"[$([#6]1[Sv6X4](=[OX1])(=[OX1])[OX2][#6]1),$([#6]1[Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6]1),$([#6]1[Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6][#6]1)]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA618,Acute_Aquatic_Toxicity,0
Cyclic sulfuric acid esters,SMARTS: ,"[$([#6]1[OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6]1),$([#6]1[OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6][#6][#6]1)]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA619,Acute_Aquatic_Toxicity,0
Halo acetates,"X = F, Cl, Br, I","[F,Cl,Br,I][#6][CX3](=[OX1])[OX2H1]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA620,Acute_Aquatic_Toxicity,0
Halo acetamides,"R = any atom/ group; X = F, Cl, Br, I","[F,Cl,Br,I][#6][CX3](=[OX1])[NX3]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA621,Acute_Aquatic_Toxicity,0
Halo ethers,"R = any atom/ group; X = F, Cl, Br, I","[$([F,Cl,Br,I]C[OX2]C),$([F,Cl,Br,I]CC[OX2]C)]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA622,Acute_Aquatic_Toxicity,0
Haloethyl sulfides (S-mustard),"R = any atom/ group; X = F, Cl, Br, I","[F,Cl,Br,I][CX4][CX4][SX2]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA623,Acute_Aquatic_Toxicity,0
Haloethyl amines (N-mustard),"R = any atom/ group; X = F, Cl, Br, I","[F,Cl,Br,I][CH2][CH2][NX3]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA624,Acute_Aquatic_Toxicity,0
"伪, 尾-Unsaturated amides",R = any atom/ group,[#6]=[#6][CX3](=[OX1])[NX3],"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA625,Acute_Aquatic_Toxicity,0
"伪, 尾-Unsaturated nitriles",SMARTS: ,C=CC#[NX1],"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA626,Acute_Aquatic_Toxicity,0
"伪, 尾-Unsaturated aldehydes",SMARTS: ,C=C[CX3]([H])=[OX1],"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA627,Acute_Aquatic_Toxicity,0
"伪, 尾-Unsaturated nitro compounds",SMARTS: ,"[#6]=[#6][$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA628,Acute_Aquatic_Toxicity,0
"伪, 尾-Unsaturated sulfones",R = any atom/ group,[#6]=[#6][Sv6X4](=[OX1])(=[OX1]),"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA629,Acute_Aquatic_Toxicity,0
"伪, 尾-Unsaturated carboxylic acid ester (acrylates)",R = any carbon atom,[#6]=[#6][CX3](=[OX1])[OX2][#6],"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA630,Acute_Aquatic_Toxicity,0
"伪, 尾-Unsaturated carboxylic acid",SMARTS: ,[CX3]=[CX3][CX3](=[OX1])[OX2H1],"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA631,Acute_Aquatic_Toxicity,0
"伪, 尾-Unsaturated carbonyl compounds",R = any atom/ group except hydrogen,[#6]=[#6][CX3](=[OX1])([!#1!$([OH1])]),"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA632,Acute_Aquatic_Toxicity,0
Quinones,SMARTS: ,"[#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA633,Acute_Aquatic_Toxicity,0
Alkyl halide,R = alkyl,"[*!$([a])&!$(C=C)&!$(C#C)][CX4][F,Cl,Br,I]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA634,Acute_Aquatic_Toxicity,0
"Alkyl halides with only C, H and halogen atom",SMARTS: ,"NOT [!#6!#1!F!Cl!Br!I] AND [F,Cl,Br,I][CX4][*&!$(C=C)&!$(C#C)&!$([a])]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA635,Acute_Aquatic_Toxicity,0
Aryl halide,Ar = any aromatic atom,"[a!r0][F,Cl,Br,I]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA636,Acute_Aquatic_Toxicity,0
Halogenated allylic group,"X = F, Cl, Br, I","[F,Cl,Br,I][CX4][CX3]=[CX3]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA637,Acute_Aquatic_Toxicity,0
Halogenated benzylic group,"Ar = aromatic carbon; X = F, Cl, Br, I","c[CX4][F,Cl,Br,I]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA638,Acute_Aquatic_Toxicity,0
Halogenated nitroaromatics,"X = F, Cl, Br, I","[$([F,Cl,Br,I]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[O   ","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA639,Acute_Aquatic_Toxicity,0
Diazo compounds,SMARTS: ,"[$([#6]=[NX2+]=N),$([#6]=[NX2]=[NX1]),$([#6]=[NX2+]=[NX1-]),$([#6]-[NX2+]#[NX1]),$([#6-]-[NX2+]#[NX1])]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA640,Acute_Aquatic_Toxicity,0
Organo metallic compounds,SMARTS: ,"[$([Cu][#6]),$([Ag][#6]),$([Au][#6]),$([Zn][#6]),$([Cd][#6]),$([Hg][#6]),$([Sn][#6]),$([Pb][#6]),$([As][#6]),$([Sb][#6])]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA641,Acute_Aquatic_Toxicity,0
Ammonium compounds,R = any carbon atom,[NX4+]([CX4])([CX4])([CX4])([CX4]),"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA642,Acute_Aquatic_Toxicity,0
Sulfonium compounds,R = any carbon atom,[SX3+]([CX4])([CX4])([CX4]),"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA643,Acute_Aquatic_Toxicity,0
Iodine,SMARTS: ,II,"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA644,Acute_Aquatic_Toxicity,0
Hydrogen peroxide,SMARTS: ,[#1][OX2][OX2][#1],"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA645,Acute_Aquatic_Toxicity,0
Sulfoxides,R = any atom,[Sv4X3](=[OX1]),"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA646,Acute_Aquatic_Toxicity,0
Sulfenyl iodides,R = any atom/ group,[SX2][IX1],"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA647,Acute_Aquatic_Toxicity,0
Disulfides,R = any atom/ group,[SX2][SX2],"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA648,Acute_Aquatic_Toxicity,0
Sulfoxides of aliphatic disulfides,R = any atom/ group,[SX2][Sv4X3](=[OX1]),"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA649,Acute_Aquatic_Toxicity,0
Thiosulfonates,"R, R1 = any atom/ group",[SX2][Sv6X4](=[OX1])(=[OX1]),"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA650,Acute_Aquatic_Toxicity,0
Carboxy disulfides,R = any atom/ group,[SX2][SX2][CX3](=[OX1])[OX2],"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA651,Acute_Aquatic_Toxicity,0
Arsenic (III) compounds,R = any atom/ group,[OX1]=[AsX2],"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA652,Acute_Aquatic_Toxicity,0
Thiocyanates,R = any atom/ group,[SX2][CX2]#[NX1],"Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA653,Acute_Aquatic_Toxicity,0
Sulfenyl halides,"R = any atom/ group; X = F, Cl, Br, I","[F,Cl,Br,I][SX2]","Hermens, JL, ",Electrophiles and acute toxicity to fish.,TA654,Acute_Aquatic_Toxicity,0
