Name	Group	SMARTS	Author	Article	Alert_ID	Reject	Accept
Cyanothiopyrans	A = any aromatic atom	[NH2]C1=C(C#[NX1])[C!H0](-cc)C(C#[NX1])=C([NH2])S1	Brenke, JK, Salmina, ES, Ringelstetter, L, Dornauer, S, Kuzikov, M, Rothenaigner, I, Schorpp, K, Giehler, F, Gopalakrishnan, J, Kieser, A, Gul, S, Tetko, IV, Hadian, K, 	Identification of Small-Molecule Frequent Hitters of Glutathione S-Transferase-Glutathione Interaction.	TA3412		['[NH2]C1=C(C#[NX1])[C!H0](-cc)C(C#[NX1])=C([NH2])S1']
Cyanodithiine	Singleton	[#16X2]1-,:[#6X3]([CX2]#[NX1])=,:[#6X3]([CX2]#[NX1])-,:[#16X2]-,:[#6X3]([CX2]#[NX1])=,:[#6X3]1([CX2]#[NX1])	Brenke, JK, Salmina, ES, Ringelstetter, L, Dornauer, S, Kuzikov, M, Rothenaigner, I, Schorpp, K, Giehler, F, Gopalakrishnan, J, Kieser, A, Gul, S, Tetko, IV, Hadian, K, 	Identification of Small-Molecule Frequent Hitters of Glutathione S-Transferase-Glutathione Interaction.	TA3413		['[#16X2]1-,:[#6X3]([CX2]#[NX1])=,:[#6X3]([CX2]#[NX1])-,:[#16X2]-,:[#6X3]([CX2]#[NX1])=,:[#6X3]1([CX2]#[NX1])']
Azafluorenones	A = aromatic C or N	[OX1,SX1]=[#6X3]1c2c([nX2][cX3,nX2,nX3][cX3,nX2,nX3][cX3,nX2,nX3]2)[c,n]2c1[cX3!$([#6X3]=[A])][cX3!$([#6X3]=[A])][cX3!$([#6X3]=[A])][cX3!$([#6X3]=[A])]2	Brenke, JK, Salmina, ES, Ringelstetter, L, Dornauer, S, Kuzikov, M, Rothenaigner, I, Schorpp, K, Giehler, F, Gopalakrishnan, J, Kieser, A, Gul, S, Tetko, IV, Hadian, K, 	Identification of Small-Molecule Frequent Hitters of Glutathione S-Transferase-Glutathione Interaction.	TA3414		['[OX1,SX1]=[#6X3]1c2c([nX2][cX3,nX2,nX3][cX3,nX2,nX3][cX3,nX2,nX3]2)[c,n]2c1[cX3!$([#6X3]=[A])][cX3!$([#6X3]=[A])][cX3!$([#6X3]=[A])][cX3!$([#6X3]=[A])]2']
Cyanothioazinones	A = aromatic C or N	[SX1]=[#6X3]1-,:[#7X3H1]-,:[#7X2,#6X3!$([#6X3]=[A])]=,:[#7X2,#6X3!$([#6X3]=[A])]-,:[#7X2,#6X3!$([#6X3]=[A])]=,:[#6X3]1([CX2]#[NX1])	Brenke, JK, Salmina, ES, Ringelstetter, L, Dornauer, S, Kuzikov, M, Rothenaigner, I, Schorpp, K, Giehler, F, Gopalakrishnan, J, Kieser, A, Gul, S, Tetko, IV, Hadian, K, 	Identification of Small-Molecule Frequent Hitters of Glutathione S-Transferase-Glutathione Interaction.	TA3415		['[SX1]=[#6X3]1-,:[#7X3H1]-,:[#7X2,#6X3!$([#6X3]=[A])]=,:[#7X2,#6X3!$([#6X3]=[A])]-,:[#7X2,#6X3!$([#6X3]=[A])]=,:[#6X3]1([CX2]#[NX1])']
Cyanopyridinones		[OX1]=[#6X3]1-,:[#6X3]=,:[#6X3]-,:[#6X3]([CX2]#[NX1])=,:[#6X3]2-,:[#7X3]([CX4][CX4]([OX2H1])[CX4][NX3H1]c5ccccc5)-,:[#6]3ccccc3-,:[#7X3]12	Brenke, JK, Salmina, ES, Ringelstetter, L, Dornauer, S, Kuzikov, M, Rothenaigner, I, Schorpp, K, Giehler, F, Gopalakrishnan, J, Kieser, A, Gul, S, Tetko, IV, Hadian, K, 	Identification of Small-Molecule Frequent Hitters of Glutathione S-Transferase-Glutathione Interaction.	TA3416		['[OX1]=[#6X3]1-,:[#6X3]=,:[#6X3]-,:[#6X3]([CX2]#[NX1])=,:[#6X3]2-,:[#7X3]([CX4][CX4]([OX2H1])[CX4][NX3H1]c5ccccc5)-,:[#6]3ccccc3-,:[#7X3]12']
Thienopyridinones	"Copy of PAINS-filter ""Het_65_E"" (Baell JB. (2010) J. Med Chem. 53(7):2719-40)"	[SX2]1C(=C(C4=C1[NX3!H0]C(C(=[C!H0]4)C(=[OX1])[OX2H1])=[OX1])[NX3H2])C(=[OX1])[NX3!H0]	Brenke, JK, Salmina, ES, Ringelstetter, L, Dornauer, S, Kuzikov, M, Rothenaigner, I, Schorpp, K, Giehler, F, Gopalakrishnan, J, Kieser, A, Gul, S, Tetko, IV, Hadian, K, 	Identification of Small-Molecule Frequent Hitters of Glutathione S-Transferase-Glutathione Interaction.	TA3417		['[SX2]1C(=C(C4=C1[NX3!H0]C(C(=[C!H0]4)C(=[OX1])[OX2H1])=[OX1])[NX3H2])C(=[OX1])[NX3!H0]']
Pyranopyridinones	A dashed line indicates double or aromatic bond	[OX2]1[CX3]([NX3H2])=[CX3]([CX2]#[NX1])[CX4][#6X3]2[#6X3](=[OX1])-,:[#7X3H1]-,:[#6X3]=,:[#6X3]-,:[#6X3]12	Brenke, JK, Salmina, ES, Ringelstetter, L, Dornauer, S, Kuzikov, M, Rothenaigner, I, Schorpp, K, Giehler, F, Gopalakrishnan, J, Kieser, A, Gul, S, Tetko, IV, Hadian, K, 	Identification of Small-Molecule Frequent Hitters of Glutathione S-Transferase-Glutathione Interaction.	TA3418		['[OX2]1[CX3]([NX3H2])=[CX3]([CX2]#[NX1])[CX4][#6X3]2[#6X3](=[OX1])-,:[#7X3H1]-,:[#6X3]=,:[#6X3]-,:[#6X3]12']
Benzoxathiolones	"Expanded PAINS-filter “Thio_carbonate_A"" (Baell JB. (2010) J. Med Chem. 53(7):2719-40)"	[$([#8]1-,:[#6](-,:[#16]c4cc(ccc14)[#7,#8])=[OX1,SX1]),$([#8]1-,:[#6](-,:[#16]c4ccc(cc14)[#7,#8])=[OX1,SX1])]	Brenke, JK, Salmina, ES, Ringelstetter, L, Dornauer, S, Kuzikov, M, Rothenaigner, I, Schorpp, K, Giehler, F, Gopalakrishnan, J, Kieser, A, Gul, S, Tetko, IV, Hadian, K, 	Identification of Small-Molecule Frequent Hitters of Glutathione S-Transferase-Glutathione Interaction.	TA3419		['[$([#8]1-,:[#6](-,:[#16]c4cc(ccc14)[#7,#8])=[OX1,SX1]),$([#8]1-,:[#6](-,:[#16]c4ccc(cc14)[#7,#8])=[OX1,SX1])]']
Indoloquinones		[#6X3]1-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]2-,:[#6X3]1-,:[#6X3](=[OX1])-,:[#6X3]3-,:[nX3]4-,:[#6X3](-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]4)=,:[#6X3]-,:[#6X3]3-,:[#6X3]2=[OX1]	Brenke, JK, Salmina, ES, Ringelstetter, L, Dornauer, S, Kuzikov, M, Rothenaigner, I, Schorpp, K, Giehler, F, Gopalakrishnan, J, Kieser, A, Gul, S, Tetko, IV, Hadian, K, 	Identification of Small-Molecule Frequent Hitters of Glutathione S-Transferase-Glutathione Interaction.	TA3420		['[#6X3]1-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]2-,:[#6X3]1-,:[#6X3](=[OX1])-,:[#6X3]3-,:[nX3]4-,:[#6X3](-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]4)=,:[#6X3]-,:[#6X3]3-,:[#6X3]2=[OX1]']
Catechols	"Restricted PAINS-filter ""Catechol_A"" (Baell JB. (2010) J. Med Chem. 53(7):2719-40)"	[OX1]=[CX3]1[CX4][CX4][CX4][CX3]2=[CX3]1[CX4](c5ccc([OX2H1])c([OX2H1])c5)[NX3]c3ccc4[nX2]cccc4c23	Brenke, JK, Salmina, ES, Ringelstetter, L, Dornauer, S, Kuzikov, M, Rothenaigner, I, Schorpp, K, Giehler, F, Gopalakrishnan, J, Kieser, A, Gul, S, Tetko, IV, Hadian, K, 	Identification of Small-Molecule Frequent Hitters of Glutathione S-Transferase-Glutathione Interaction.	TA3421		['[OX1]=[CX3]1[CX4][CX4][CX4][CX3]2=[CX3]1[CX4](c5ccc([OX2H1])c([OX2H1])c5)[NX3]c3ccc4[nX2]cccc4c23']
