Name	Group	SMARTS	Author	Article	Alert_ID	Reject	Accept
A1, A2, A4-A12, B2, B3, B4, B6	SMARTS: 	[OH][CX3](=[OX1])c1ncccc1	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2904		['[OH][CX3](=[OX1])c1ncccc1']
A3	SMARTS: 	[OH][CX3](=[OX1])[#6]1-,:[$([#7X3+]-[OX1-]),$([#7v5X3]=[OX1])]=,:[#6]-,:[#6]=,:[#6]-,:[#6]=,:1	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2905		['[OH][CX3](=[OX1])[#6]1-,:[$([#7X3+]-[OX1-]),$([#7v5X3]=[OX1])]=,:[#6]-,:[#6]=,:[#6]-,:[#6]=,:1']
B1	SMARTS: 	c1cccc2c1ccc([OH])n2	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2906		['c1cccc2c1ccc([OH])n2']
B5	SMARTS: 	[#6]1=,:[#6]-,:[#6]=,:[#6]([OH])-,:[#6]2=,:[#6]1-,:[#6]=,:[#6]-,:[#6]=,:[$([#7X3+]-[OX1-]),$([#7v5X3]=[OX1])]2	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2907		['[#6]1=,:[#6]-,:[#6]=,:[#6]([OH])-,:[#6]2=,:[#6]1-,:[#6]=,:[#6]-,:[#6]=,:[$([#7X3+]-[OX1-]),$([#7v5X3]=[OX1])]2']
B7, B8, B9, B12	SMARTS: 	c1ccc([OH])c2c1cccn2	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2908		['c1ccc([OH])c2c1cccn2']
B10	SMARTS: 	c1ccc([SH])c2c1cccn2	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2909		['c1ccc([SH])c2c1cccn2']
B11	SMARTS: 	c1ccc([CX3](=[OX1])[OH])c2c1cccn2	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2910		['c1ccc([CX3](=[OX1])[OH])c2c1cccn2']
C2	SMARTS: 	[NH2]c1nc([NH2])cc([OH])n1	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2912		['[NH2]c1nc([NH2])cc([OH])n1']
C3, C7, C8	SMARTS: 	[SH]c1nc([OH])ccn1	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2913		['[SH]c1nc([OH])ccn1']
C4	SMARTS: 	[OH]c1nc([SH])ccn1	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2914		['[OH]c1nc([SH])ccn1']
C5	SMARTS: 	[SH]c1nc([CH3])cc([CH3])n1	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2915		['[SH]c1nc([CH3])cc([CH3])n1']
C5*	R1, R2 = Csp3	[SH]c1nc([CX4])cc([CX4])n1	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2916		['[SH]c1nc([CX4])cc([CX4])n1']
C6, C12	SMARTS: 	[OH]c1nc([OH])cc([CH3])n1	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2917		['[OH]c1nc([OH])cc([CH3])n1']
C6*, C12*	R1 = Csp3	[OH]c1nc([OH])cc([CX4])n1	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2918		['[OH]c1nc([OH])cc([CX4])n1']
C9	SMARTS: 	[NH2]c1ncnc2c1nc[nH]2	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2919		['[NH2]c1ncnc2c1nc[nH]2']
C9*	R1 = any atom/ group	[NH2]c1ncnc2c1nc[nX3]2	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2920		['[NH2]c1ncnc2c1nc[nX3]2']
C10, C11	SMARTS: 	[CH3]c1nc([OH])cc([OH,CH3])n1	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2921		['[CH3]c1nc([OH])cc([OH,CH3])n1']
C10*, C11*	R1, R2 = Csp3	[CX4]c1nc([OH])cc([OH,CX4])n1	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2922		['[CX4]c1nc([OH])cc([OH,CX4])n1']
D1, D3, D4, D6-D11	SMARTS: 	O=[#6]1-,:[#6]([OH])=,:[#6]-,:[#8]-,:[#6]=,:[#6]-,:1	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2923		['O=[#6]1-,:[#6]([OH])=,:[#6]-,:[#8]-,:[#6]=,:[#6]-,:1']
D2, D5	SMARTS: 	S=[#6]1-,:[#6]([OH])=,:[#6]-,:[#8]-,:[#6]=,:[#6]-,:1	Agrawal, A, Johnson, SL, 	Chelator fragment libraries for targeting metalloproteinases	TA2924		['S=[#6]1-,:[#6]([OH])=,:[#6]-,:[#8]-,:[#6]=,:[#6]-,:1']
