Name	Group	SMARTS	Author	Article	Alert_ID	Reject	Accept
Hydrocarbons	Compounds containing only C and H atoms	NOT [!#6!#1]	Salmina, ES, Haider, N, Tetko, IV, 	Extended Functional Groups (EFG): An Efficient Set for Chemical Characterization and Structure-Activity Relationship Studies of Chemical Compounds.	TA1105	['[!#6!#1]']	
Cations	Any positively charged atom	[+,++,+3,+4,+5,+6,+7,$([#7v4]),$([#8v3])] AND NOT [$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N),$([NX2-]-[NX2+]#[NX1]),$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-]),$([NX2+]#[CX1-]),$([NX2]#[CX1]),$([OX1-,OH1][#7X4+]([*])([*])([*])),$([OX1]=[#7X4v5]([*])([*])([*])),$([OX1-,OH1][#7X3+R](~[R])(~[R])),$([OX1]=[#7v5X3R](~[R])(~[R])),$([*+]~[*-])]	CheckMol, 	List of functional groups recognized by checkmol	TA1106	['[$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N),$([NX2-]-[NX2+]#[NX1]),$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-]),$([NX2+]#[CX1-]),$([NX2]#[CX1]),$([OX1-,OH1][#7X4+]([*])([*])([*])),$([OX1]=[#7X4v5]([*])([*])([*])),$([OX1-,OH1][#7X3+R](~[R])(~[R])),$([OX1]=[#7v5X3R](~[R])(~[R])),$([*+]~[*-])]']	['[+,++,+3,+4,+5,+6,+7,$([#7v4]),$([#8v3])]']
Anions	Any negatively charged atom	[-,--,-3,-4,-5,-6,-7] AND NOT [$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N),$([NX2-]-[NX2+]#[NX1]),$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-]),$([NX2+]#[CX1-]),$([NX2]#[CX1]),$([OX1-,OH1][#7X4+]([*])([*])([*])),$([OX1]=[#7X4v5]([*])([*])([*])),$([OX1-,OH1][#7X3+R](~[R])(~[R])),$([OX1]=[#7v5X3R](~[R])(~[R])),$([*-]~[*+])]	CheckMol, 	List of functional groups recognized by checkmol	TA1107	['[$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N),$([NX2-]-[NX2+]#[NX1]),$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-]),$([NX2+]#[CX1-]),$([NX2]#[CX1]),$([OX1-,OH1][#7X4+]([*])([*])([*])),$([OX1]=[#7X4v5]([*])([*])([*])),$([OX1-,OH1][#7X3+R](~[R])(~[R])),$([OX1]=[#7v5X3R](~[R])(~[R])),$([*-]~[*+])]']	['[-,--,-3,-4,-5,-6,-7]']
Carbonyl compouns: aldehydes or ketones	R1, R2 = H, alkyl, aryl	[$([H][CX3]([#1,#6])=[OX1]),$([#6&!$(C#N)][CX3](=[OX1])[#6&!$(C#N)])]	CheckMol, 	List of functional groups recognized by checkmol	TA1108		['[$([H][CX3]([#1,#6])=[OX1]),$([#6&!$(C#N)][CX3](=[OX1])[#6&!$(C#N)])]']
Aldehydes	R = H, alkyl, aryl	[H][CX3]([#1,#6])=[OX1]	CheckMol, 	List of functional groups recognized by checkmol	TA1109		['[H][CX3]([#1,#6])=[OX1]']
Ketones	R1, R2 = alkyl, aryl	[#6&!$(C#N)][CX3](=[OX1])[#6&!$(C#N)]	CheckMol, 	List of functional groups recognized by checkmol	TA1110		['[#6&!$(C#N)][CX3](=[OX1])[#6&!$(C#N)]']
Thiocarbonyl compounds: thioaldehydes or thioketones	R1, R2 = H, alkyl, aryl	[$([#1,#6][#6X3](=[SX1])[#1,#6]),$([#6]=[CX2]=[Sv2X1])]	CheckMol, 	List of functional groups recognized by checkmol	TA1111		['[$([#1,#6][#6X3](=[SX1])[#1,#6]),$([#6]=[CX2]=[Sv2X1])]']
Thioaldehydes	R = H, alkyl, aryl	[#1][CX3]([#1,#6])=[SX1]	CheckMol, 	List of functional groups recognized by checkmol	TA1112		['[#1][CX3]([#1,#6])=[SX1]']
Thioketones	R1, R2 = alkyl, aryl	[#6&!$(C#N)][CX3](=[SX1])[#6&!$(C#N)]	CheckMol, 	List of functional groups recognized by checkmol	TA1113		['[#6&!$(C#N)][CX3](=[SX1])[#6&!$(C#N)]']
Imines	R1, R2, R3 = H, alkyl, aryl	[#1,#6][CX3](=[NX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6]	CheckMol, 	List of functional groups recognized by checkmol	TA1114		['[#1,#6][CX3](=[NX2][#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6]']
Hydrazones	R1, R2, R3, R4 = H, alkyl, aryl	[CX3]([#1,#6])([#1,#6])=[NX2][#7X3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]	CheckMol, 	List of functional groups recognized by checkmol	TA1115		['[CX3]([#1,#6])([#1,#6])=[NX2][#7X3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]']
Semicarbazones	R1, R2, R3, R4, R5 = H, alkyl, aryl	[#1,#6][CX3]([#1,#6])=[NX2][NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[CX3](=[OX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]	CheckMol, 	List of functional groups recognized by checkmol	TA1116		['[#1,#6][CX3]([#1,#6])=[NX2][NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[CX3](=[OX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]']
Thiosemicarbazones	R1, R2, R3, R4, R5 = H, alkyl or aromatic carbon	[#1,#6][CX3]([#1,#6])=[NX2][NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[CX3](=[SX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]	CheckMol, 	List of functional groups recognized by checkmol	TA1117		['[#1,#6][CX3]([#1,#6])=[NX2][NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[CX3](=[SX1])[NX3]([#1,#6&!$([CX3]=[OX1,SX1,NX2])])[#1,#6&!$([CX3]=[OX1,SX1,NX2])]']
Oximes	R1, R2 = H, alkyl, aryl	[#1,#6][CX3]([#1,#6])=[NX2][OH1]	CheckMol, 	List of functional groups recognized by checkmol	TA1118		['[#1,#6][CX3]([#1,#6])=[NX2][OH1]']
Oxime ethers	R1, R2 = H, alkyl, aryl; R3 = alkyl, aryl	[#1,#6][CX3]([#1,#6])=[NX2][OX2][#6&!$([CX3]=[OX1,SX1,NX2])]	CheckMol, 	List of functional groups recognized by checkmol	TA1119		['[#1,#6][CX3]([#1,#6])=[NX2][OX2][#6&!$([CX3]=[OX1,SX1,NX2])]']
Ketenes	R1, R2 = H, alkyl, aryl	[OX1]=[CX2]=[CX3]([#1,#6])[#1,#6]	CheckMol, 	List of functional groups recognized by checkmol	TA1120		['[OX1]=[CX2]=[CX3]([#1,#6])[#1,#6]']
