Name	Group	SMARTS	Author	Article	Alert_ID	Reject	Accept
Aromatic nitro (general)	Ar = any aromatic/heteroaromatic ring	[a!R0][$([NX3+](=[OX1])([O-])),$([NX3](=O)=O)]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA321		['[a!R0][$([NX3+](=[OX1])([O-])),$([NX3](=O)=O)]']
Aromatic amine (general)	Ar = any aromatic/heteroaromatic ring	[a!R0][NX3H2]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA322		['[a!R0][NX3H2]']
Three-membered heterocycles (general)	SMARTS: 	[NX3H1,SX2,OX2]1[CX4][CX4]1	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA323		['[NX3H1,SX2,OX2]1[CX4][CX4]1']
Nitroso (general)	R = any atom/ group	[NX2]=[OX1]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA324		['[NX2]=[OX1]']
Unsubstituted heteroatom-bonded heteroatom (general)	SMARTS: 	[$([NX3H2]-[#7]),$([NX3H2]-[#8]),$([OX2H1]-[#7]),$([OX2H1]-[#8])]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA325		['[$([NX3H2]-[#7]),$([NX3H2]-[#8]),$([OX2H1]-[#7]),$([OX2H1]-[#8])]']
Azo-type (general)	This toxicophore representing the azo-type group contained several groups with different reactivity, e.g. an azide, a diazo, and a triazene group as well as an azo or an azoxy group that are located between two aromatic rings	[NX2]=[NX2]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA326		['[NX2]=[NX2]']
Aliphatic halide (general)	X = Cl, Br, I	[CX4][Cl,Br,I]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA327		['[CX4][Cl,Br,I]']
Polycyclic aromatic system (general)	Includes fused aromatic carbo- and/ or heterocycles	[$([aR3]),$([$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))])]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA328		['[$([aR3]),$([$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))].[$([aR2]([aR])([aR])([aR]))])]']
Aromatic nitro (specific)	Chemicals with a trifluoromethyl(-CF3), a sulfonamide(-SO2NR2), a sulfonic acid (-SO3H) and a arylsulfonyl derivatives (-SO2Ar) groups in ortho, meta, and/or para position(s) and tert-butyl (C(CH3)(CH3)CH3) group in ortho position with respect to the nitro-group are excluded (where R = carbon or hydrogen; Ar = any aromatic/heteroaromatic ring)	[a!R0][$([NX3+](=[OX1])[O-]),$([NX3](=[OX1])=[OX1]);!$([NX3]aa-[$(C(F)(F)F),$(S(=O)(=O)[OH]),$(S(=O)(=O)[NX3]([#1,#6])[#1,#6]),$(S(=O)(=O)[a!r0]),$([CX4]([CH3])([CH3])[CH3])]);!$([NX3]aaa-[$(C(F)(F)F),$(S(=O)(=O)[OH]),$(S(=O)(=O)[NX3]([#1,#6])[#1,#6]),$(S(=O)(=O)[a!r0])]);!$([NX3]aaaa-[$(C(F)(F)F),$(S(=O)(=O)[OH]),$(S(=O)(=O)[NX3]([#1,#6])[#1,#6]),$(S(=O)(=O)[a!r0])])]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA329		['[a!R0][$([NX3+](=[OX1])[O-]),$([NX3](=[OX1])=[OX1]);!$([NX3]aa-[$(C(F)(F)F),$(S(=O)(=O)[OH]),$(S(=O)(=O)[NX3]([#1,#6])[#1,#6]),$(S(=O)(=O)[a!R0]),$([CX4]([CH3])([CH3])[CH3])]);!$([NX3]aaa-[$(C(F)(F)F),$(S(=O)(=O)[OH]),$(S(=O)(=O)[NX3]([#1,#6])[#1,#6]),$(S(=O)(=O)[a!R0])]);!$([NX3]aaaa-[$(C(F)(F)F),$(S(=O)(=O)[OH]),$(S(=O)(=O)[NX3]([#1,#6])[#1,#6]),$(S(=O)(=O)[a!R0])])]']
Aromatic amine (specific)	Chemicals with a trifluoromethyl (-CF3), a sulfonamide (-SO2NR2), a sulfonic acid (-SO3H), a arylsulfonyl (-SO2Ar) and a carboxylic acid and its ester groups (-COOR) on the same ring of the amino group are excluded (where R = carbon or hydrogen; Ar = any aromatic/heteroaromatic ring)	[a!R0][$([NH2]);!$([NH2]aa[$(C(F)(F)F),$(S(=O)(=O)[NX3]([#6,#1])[#6,#1]),$(S(=O)(=O)[OH]),$(S(=O)(=O)[a!r0]),$(C(=[OX1])[OH1]),$(C(=[OX1])[OX2][#6])]);!$([NH2]aaa[$(C(F)(F)F),$(S(=O)(=O)[NX3]([#6,#1])[#6,#1]),$(S(=O)(=O)[OH]),$(S(=O)(=O)[a!r0]),$(C(=[OX1])[OH]),$(C(=[OX1])[OX2][#6])]);!$([NH2]aaaa[$(C(F)(F)F),$(S(=O)(=O)[NX3]([#6,#1])[#6,#1]),$(S(=O)(=O)[OH]),$(S(=O)(=O)[a!r0]),$(C(=[OX1])[OH]),$(C(=[OX1])[OX2][#6])])]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA330		['[a!R0][$([NH2]);!$([NH2]aa[$(C(F)(F)F),$(S(=O)(=O)[NX3]([#6,#1])[#6,#1]),$(S(=O)(=O)[OH]),$(S(=O)(=O)[a!R0]),$(C(=[OX1])[OH1]),$(C(=[OX1])[OX2][#6])]);!$([NH2]aaa[$(C(F)(F)F),$(S(=O)(=O)[NX3]([#6,#1])[#6,#1]),$(S(=O)(=O)[OH]),$(S(=O)(=O)[a!R0]),$(C(=[OX1])[OH]),$(C(=[OX1])[OX2][#6])]);!$([NH2]aaaa[$(C(F)(F)F),$(S(=O)(=O)[NX3]([#6,#1])[#6,#1]),$(S(=O)(=O)[OH]),$(S(=O)(=O)[a!R0]),$(C(=[OX1])[OH]),$(C(=[OX1])[OX2][#6])])]']
Aromatic nitroso (specific)	Ar = any aromatic/heteroaromatic ring	[a!R0][NX2]=[OX1]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA331		['[a!R0][NX2]=[OX1]']
Alkyl nitrite (specific)	R = aliphatic carbon atom	[OX1]=[NX2][OX2][CX4]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA332		['[OX1]=[NX2][OX2][CX4]']
Nitrosamine (specific)	R = hydrogen or carbon atom; R1 = carbon atom	[OX1]=[NX2][NX3]([#6,#1])[#6,#1]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA333		['[OX1]=[NX2][NX3]([#6,#1])[#6,#1]']
Epoxide (specific)	SMARTS: 	[CX4]1[OX2][CX4]1	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA334		['[CX4]1[OX2][CX4]1']
Aziridine (specific)	SMARTS: 	[CX4]1[NX3H1][CX4]1	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA335		['[CX4]1[NX3H1][CX4]1']
Azide (specific)	SMARTS: 	[$([NX2]=[NX2+]=[NX1-]),$(N=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA336		['[$([NX2]=[NX2+]=[NX1-]),$(N=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]']
Diazo (specific)	SMARTS: 	[$([#6]=[NX2+]=N),$([#6]=[NX2]=[NX1]),$([#6]=[NX2+]=[NX1-]),$([#6]-[NX2+]#[NX1]),$([#6-]-[NX2+]#[NX1])]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA337		['[$([#6]=[NX2+]=N),$([#6]=[NX2]=[NX1]),$([#6]=[NX2+]=[NX1-]),$([#6]-[NX2+]#[NX1]),$([#6-]-[NX2+]#[NX1])]']
Triazene (specific)	SMARTS: 	[NX3!R][NX2!R]=[NX2!R]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA338		['[NX3!R][NX2!R]=[NX2!R]']
Aromatic azo (specific)	Chemicals with sulfonic acid group at both ring  systems connected to the aromatic azo group are excluded; Ar = any aromatic/heteroaromatic atom	[$([NX2]([a!r0])=[NX2][a!r0]);!$([NX2](aaS(=O)(=O)[OH])=[NX2]aaS(=O)(=O)[OH]);!$([NX2](aaS(=O)(=O)[OH])=[NX2]aaaS(=O)(=O)[OH]);!$([NX2](aaaS(=O)(=O)[OH])=[NX2]aaS(=O)(=O)[OH]);!$([NX2](aaS(=O)(=O)[OH])=[NX2]aaaaS(=O)(=O)[OH])!$([NX2](aaaaS(=O)(=O)[OH])=[NX2]aaS(=O)(=O)[OH]);!$([NX2](aaaS(=O)(=O)[OH])=[NX2]aaaS(=O)(=O)[OH]);!$([NX2](aaaS(=O)(=O)[OH])=[NX2]aaaaS(=O)(=O)[OH]);!$([NX2](aaaaS(=O)(=O)[OH])=[NX2]aaaS(=O)(=O)[OH]);!$([NX2](aaaaS(=O)(=O)[OH])=[NX2]aaaaS(=O)(=O)[OH])]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA339		['[$([NX2]([a!R0])=[NX2][a!R0]);!$([NX2](aaS(=O)(=O)[OH])=[NX2]aaS(=O)(=O)[OH]);!$([NX2](aaS(=O)(=O)[OH])=[NX2]aaaS(=O)(=O)[OH]);!$([NX2](aaaS(=O)(=O)[OH])=[NX2]aaS(=O)(=O)[OH]);!$([NX2](aaS(=O)(=O)[OH])=[NX2]aaaaS(=O)(=O)[OH])!$([NX2](aaaaS(=O)(=O)[OH])=[NX2]aaS(=O)(=O)[OH]);!$([NX2](aaaS(=O)(=O)[OH])=[NX2]aaaS(=O)(=O)[OH]);!$([NX2](aaaS(=O)(=O)[OH])=[NX2]aaaaS(=O)(=O)[OH]);!$([NX2](aaaaS(=O)(=O)[OH])=[NX2]aaaS(=O)(=O)[OH]);!$([NX2](aaaaS(=O)(=O)[OH])=[NX2]aaaaS(=O)(=O)[OH])]']
Unsubstituted heteroatom-bonded heteroatom (specific)	This toxicophore does not include any unsubstituted heteroatom-bonded heteroatom moiety that contains a sulfur atom. The 1,2- disubstituted peroxide and the 1,2-disubstituted aliphatic groups, such as the hydrazine groups, which are related to (but not part of) the toxicophore are excluded	[$([NX3H2][#7]),$([NX3H2][#8]),$([OX2H1][#7]),$([OX2H1][#8]);!$([NH2][#7][$([OX2]-[OX2][#6]),$([NX3]([!#1])[NX3]([!#1]))]);!$([NH2][#8][$([OX2]-[OX2][#6]),$([NX3]([!#1])[NX3]([!#1]))]);!$([OH1][#7][$([OX2]-[OX2][#6]),$([NX3]([!#1])[NX3]([!#1]))]);!$([OH1][#8][$([OX2]-[OX2][#6]),$([NX3]([!#1])[NX3]([!#1]))]);!$([OH1][NX3H1][a!r0])]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA340		['[$([NX3H2][#7]),$([NX3H2][#8]),$([OX2H1][#7]),$([OX2H1][#8]);!$([NH2][#7][$([OX2]-[OX2][#6]),$([NX3]([!#1])[NX3]([!#1]))]);!$([NH2][#8][$([OX2]-[OX2][#6]),$([NX3]([!#1])[NX3]([!#1]))]);!$([OH1][#7][$([OX2]-[OX2][#6]),$([NX3]([!#1])[NX3]([!#1]))]);!$([OH1][#8][$([OX2]-[OX2][#6]),$([NX3]([!#1])[NX3]([!#1]))]);!$([OH1][NX3H1][a!R0])]']
Aromatic hydroxylamine (specific)	Ar = any aromatic/heteroaromatic ring	[a!r0][NX3H1][OH1]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA341		['[a!R0][NX3H1][OH1]']
Aliphatic halide (specific)	X = Cl, Br, I	[Cl,Br,I][$([CX4]);!$([CX3](=[OX1,SX1,NX2]));!$([CH2][CH2][SX2,NX3])]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA342		['[Cl,Br,I][$([CX4]);!$([CX3](=[OX1,SX1,NX2]));!$([CH2][CH2][SX2,NX3])]']
Carboxylic acid halide (specific)	R = any atom/ group; X = Cl, Br, I	[Cl,Br,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA343		['[Cl,Br,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]']
Nitrogen and sulphur mustard (specific)	X = Cl, Br, I	[Cl,Br,I][CH2][CH2][SX2,NX3]	Kazius, J, McGuire, R, Bursi, R, 	Derivation and validation of toxicophores for mutagenicity prediction.	TA344		['[Cl,Br,I][CH2][CH2][SX2,NX3]']
