Name	Group	SMARTS	Author	Article	Alert_ID	Reject	Accept
Anilines, anilides	R1, R2 = H, alkyl, phenyl, acyl, acyloxy, sulfonyl	c1ccccc1[NX3]([#1,CX4!R,$(c1ccccc1),$([CX3](=[OX1])[#6]),$([CX3](=[OX1])[OX2][#6]),$([SX4](=[OX1])(=[OX1])[#1,#6])])[#1,CX4!R,$(c1ccccc1),$([CX3](=[OX1])[#6]),$([CX3](=[OX1])[OX2][#6]),$([SX4](=[OX1])(=[OX1])[#1,#6])]	Kalgutkar, AS, Soglia, JR, 	Minimising the potential for metabolic activation in drug discovery.	TA824		['c1ccccc1[NX3]([#1,CX4!R,$(c1ccccc1),$([CX3](=[OX1])[#6]),$([CX3](=[OX1])[OX2][#6]),$([SX4](=[OX1])(=[OX1])[#1,#6])])[#1,CX4!R,$(c1ccccc1),$([CX3](=[OX1])[#6]),$([CX3](=[OX1])[OX2][#6]),$([SX4](=[OX1])(=[OX1])[#1,#6])]']
Hydrazine, hydrazides	R1, R2 = H, any carbon atom (including acyl)	[#6,#1][NX3H1][NX3H1][#6,#1]	Kalgutkar, AS, Soglia, JR, 	Minimising the potential for metabolic activation in drug discovery.	TA825		['[#6,#1][NX3H1][NX3H1][#6,#1]']
Nitrobenzenes	R = phenyl, aryl or heterocyclic	a[$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]	Kalgutkar, AS, Soglia, JR, 	Minimising the potential for metabolic activation in drug discovery.	TA826		['a[$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]']
Dibenzazepines	R1, R2 = alkyl, cycloaklyl	N([CX4])([CX4])C1=Nc2ccccc2[NX3H1]c3c1cccc3	Kalgutkar, AS, Soglia, JR, 	Minimising the potential for metabolic activation in drug discovery.	TA827		['N([CX4])([CX4])C1=Nc2ccccc2[NX3H1]c3c1cccc3']
Benzylamines	R1, R2 = H, alkyl	[#1,CX4!R][NX3]([#1,CX4!R])[CH2]c1ccccc1	Kalgutkar, AS, Soglia, JR, 	Minimising the potential for metabolic activation in drug discovery.	TA828		['[#1,CX4!R][NX3]([#1,CX4!R])[CH2]c1ccccc1']
Propargyl amines	R1, R2, R3 = H, alkyl or aryl	[#1,CX4,$(c1ccccc1)][CX2]#[CX2][NX3]([#1,CX4,$(c1ccccc1)])[#1,CX4,$(c1ccccc1)]	Kalgutkar, AS, Soglia, JR, 	Minimising the potential for metabolic activation in drug discovery.	TA829		['[#1,CX4,$(c1ccccc1)][CX2]#[CX2][NX3]([#1,CX4,$(c1ccccc1)])[#1,CX4,$(c1ccccc1)]']
Cyclopropyl amines	R1, R2, R3 = H, alkyl or aryl	[CX4]1[CX4][CX4]1[NX3]([#1,CX4,$(c1ccccc1)])[#1,CX4,$(c1ccccc1)]	Kalgutkar, AS, Soglia, JR, 	Minimising the potential for metabolic activation in drug discovery.	TA830		['[CX4]1[CX4][CX4]1[NX3]([#1,CX4,$(c1ccccc1)])[#1,CX4,$(c1ccccc1)]']
N-Substituted-4-aryl-1,2,3,6-tetrahydropyridines	R1 = H, halogen or any carbon atom; R2 = alkyl	[NX3]1([CX4!R])[CX4][CX3]=[CX3](c2c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c2([#1,#6,F,Cl,Br,I]))[CX4][CX4]1	Kalgutkar, AS, Soglia, JR, 	Minimising the potential for metabolic activation in drug discovery.	TA831		['[NX3]1([CX4!R])[CX4][CX3]=[CX3](c2c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c2([#1,#6,F,Cl,Br,I]))[CX4][CX4]1']
N-Substituted-4-arylpiperidin-4-ol	R1 = H, halogen or any carbon atom; R2 = alkyl	[NX3]1([CX4!R])[CX4][CX4][CX4]([OH1])(c2c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c2([#1,#6,F,Cl,Br,I]))[CX4][CX4]1	Kalgutkar, AS, Soglia, JR, 	Minimising the potential for metabolic activation in drug discovery.	TA832		['[NX3]1([CX4!R])[CX4][CX4][CX4]([OH1])(c2c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c2([#1,#6,F,Cl,Br,I]))[CX4][CX4]1']
Formamides	R = any carbon atom	[CX3H1](=[OX1])[NX3H1][#6]	Kalgutkar, AS, Soglia, JR, 	Minimising the potential for metabolic activation in drug discovery.	TA833		['[CX3H1](=[OX1])[NX3H1][#6]']
Hydantoins (glycolylurea)	R1, R2 = H, any carbon atom	[NX3H1]1[CX3](=[OX1])[CX4]([#1,#6])([#1,#6])[NX3H1][CX3]1(=[OX1])	Kalgutkar, AS, Soglia, JR, 	Minimising the potential for metabolic activation in drug discovery.	TA834		['[NX3H1]1[CX3](=[OX1])[CX4]([#1,#6])([#1,#6])[NX3H1][CX3]1(=[OX1])']
Thioamides	R1, R2, R3 = H, any carbon atom	[#1,#6][CX3](=[SX1])[NX3]([#1,#6])[#1,#6]	Kalgutkar, AS, Soglia, JR, 	Minimising the potential for metabolic activation in drug discovery.	TA835		['[#1,#6][CX3](=[SX1])[NX3]([#1,#6])[#1,#6]']
Thioureas	R1, R2 = H, any carbon atom	[#1,#6][NX3]([#1,#6])[CX3](=[SX1])[#7]	Kalgutkar, AS, Soglia, JR, 	Minimising the potential for metabolic activation in drug discovery.	TA836		['[#1,#6][NX3]([#1,#6])[CX3](=[SX1])[#7]']
Sulfonylureas	R1, R2 = any carbon atom	[#6][Sv6X4](=[OX1])(=[OX1])[NX3H1][CX3](=[OX1])[NX3H1][#6]	Kalgutkar, AS, Soglia, JR, 	Minimising the potential for metabolic activation in drug discovery.	TA837		['[#6][Sv6X4](=[OX1])(=[OX1])[NX3H1][CX3](=[OX1])[NX3H1][#6]']
