Name	Group	SMARTS	Author	Article	Alert_ID	Reject	Accept
phosphorodithionate	SMARTS: 	[$([SX2H0]P(=S)([OH0])[OH0])]P(=S)([OH0])[OH0]	Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., 	QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE	TA9905		['[$([SX2H0]P(=S)([OH0])[OH0])]P(=S)([OH0])[OH0]']
O,O-diethylphosphorodithionate	SMARTS: 	CCOP(=S)(OCC)SC([*:1])	Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., 	QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE	TA9906		['CCOP(=S)(OCC)SC([*:1])']
phosphoryl	SMARTS: 	[PX4H0](=O)([OH0])([OH0])[OH0]	Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., 	QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE	TA9907		['[PX4H0](=O)([OH0])([OH0])[OH0]']
O,O-dimethylphosphoryl	SMARTS: 	COP(=O)(O([*:1]))OC	Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., 	QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE	TA9908		['COP(=O)(O([*:1]))OC']
phosphorothionate	SMARTS: 	[$([OH0]P(=S)([OH0])[OH0])]P(=S)([OH0])[OH0]	Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., 	QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE	TA9909		['[$([OH0]P(=S)([OH0])[OH0])]P(=S)([OH0])[OH0]']
diethylphosphorothionate	SMARTS: 	CCOP(=S)(O([*:1]))OCC	Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., 	QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE	TA9910		['CCOP(=S)(O([*:1]))OCC']
O-phenyl phenylphosphonothioate	SMARTS: 	S=P(O([*:1]))(Oc1ccc([*:1])cc1)c1ccccc1	Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., 	QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE	TA9911		['S=P(O([*:1]))(Oc1ccc([*:1])cc1)c1ccccc1']
O-phenyl phosphonothioate	SMARTS: 	S=P(O([*:1]))(O([*:1]))Oc1ccc([*:1])cc1	Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., 	QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE	TA9912		['S=P(O([*:1]))(O([*:1]))Oc1ccc([*:1])cc1']
carbamate	SMARTS: 	[$(N([!H])C(=O)[OH0])]C(=O)[OH0]	Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., 	QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE	TA9913		['[$(N([!H])C(=O)[OH0])]C(=O)[OH0]']
2,2-dimethyl-2,3-dihydro-1-benzofuran-7-yl N-(aminosulfanyl)-N-methylcarbamate	SMARTS: 	CN(SN([*:1])([*:1]))C(=O)Oc1cccc2CC(C)(C)Oc12	Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., 	QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE	TA9914		['CN(SN([*:1])([*:1]))C(=O)Oc1cccc2CC(C)(C)Oc12']
methyl(propoxysulfanyl) carbamate	SMARTS: 	CN(SOCCC([*:1]))C(=O)O([*:1])	Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., 	QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE	TA9915		['CN(SOCCC([*:1]))C(=O)O([*:1])']
phenyl carbamate	SMARTS: 	O=C(N([*:1]))Oc1ccccc([*:1])1	Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., 	QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE	TA9916		['O=C(N([*:1]))Oc1ccccc([*:1])1']
O-(methylaminocarbonyl)oxime	SMARTS: 	[CX4]NC(=O)ON=C	Tinkov, O., Grigorev, V., Polishchuk, P., Yarkov, V., Raevsky, O., 	QSAR INVESTIGATION OF ACUTE TOXICITY OF ORGANIC COMPOUNDS UPON ORAL  INJECTION IN MICE	TA9917		['[CX4]NC(=O)ON=C']
