Name	Group	SMARTS	Author	Article	Alert_ID	Reject	Accept
Anil_di_alk_C	R1 = H, alkyl carbon atom; R2, R3, R4, R5, R6, R7 = any atom/ group	c1c(ccc(c1)N([CX4])[H,CX4])O[CX4]	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1900		['c1c(ccc(c1)N([CX4])[H,CX4])O[CX4]']
Anil_di_alk_D	Y = -OH, -C=CH, -N(C)C; R1, R2, R3, R4, R5, R6, R7, R8 = any atom/ group	c1c(ccc(c1)[CX4][$([#8!H0]),$([#6]=[#6!H0]),$([#7][CX4])])[#7]([CX4])[CX4]	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1901		['c1c(ccc(c1)[CX4][$([#8!H0]),$([#6]=[#6!H0]),$([#7][CX4])])[#7]([CX4])[CX4]']
Anil_di_alk_E	R1, R2, R3 = any atom/ group; R4 = H, alkyl carbon atom; R5 = H, carbon atom; R6 = any atom/ group	[$([#6!H0][#7]([CH2,CH3])c1[cH]c([H,CH2,CH3])c([CH,CH2][C!H0])[cH][cH]1),$([#6!H0][#7]([CH2,CH3])c1[cH]c([H,CH2,CH3])c([CH3])[cH][cH]1)]	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1902		['[$([#6!H0][#7]([CH2,CH3])c1[cH]c([H,CH2,CH3])c([CH,CH2][C!H0])[cH][cH]1),$([#6!H0][#7]([CH2,CH3])c1[cH]c([H,CH2,CH3])c([CH3])[cH][cH]1)]']
Ene_five_het_A	A = any atom except C and H	C1(=C)C=N[!#1!#6]C1=[OX1]	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1903		['C1(=C)C=N[!#1!#6]C1=[OX1]']
Ene_six_het_A	A = any atom except C and H; a dashed line indicates any type of covalent bonds	[#6]1([#6](~[!#1!#6]~[#6][!#1!#6][#6]1=[!#1!#6])~[!#1!#6])=[#6!R!H0]	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1904		['[#6]1([#6](~[!#1!#6]~[#6][!#1!#6][#6]1=[!#1!#6])~[!#1!#6])=[#6!R!H0]']
Hzone_phenol_A	Filter family A	c1ccc(c(c1)[#8!H0])[#6]=[#7][#7]	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1905		['c1ccc(c(c1)[#8!H0])[#6]=[#7][#7]']
Quinone_A	A = any atom except C and H	[!#1!#6]=[#6]1-,:[#6]=,:[#6]-,:[#6](=[!#1!#6])-,:[#6]=,:[#6]1	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1906		['[!#1!#6]=[#6]1-,:[#6]=,:[#6]-,:[#6](=[!#1!#6])-,:[#6]=,:[#6]1']
Azo_A	At least one nitrogen atom is not a ring member	[N!R]=N	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1907		['[N!R]=N']
Imine_one_A	A = any atom except C and H	[#6][#6](=[!#1!#6!R])[#6](=[!#1!#6!R])[#6,$(S(=O)=O)]	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1908		['[#6][#6](=[!#1!#6!R])[#6](=[!#1!#6!R])[#6,$(S(=O)=O)]']
Mannich_A	R1, R2 = any atom/ group	N[CX4]c1c([OH1])cccc1	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1909		['N[CX4]c1c([OH1])cccc1']
Ene_rhod_A	Filter family A	N1C(=S)SC(=C)C1=O	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1910		['N1C(=S)SC(=C)C1=O']
Hzone_phenol_B	Filter family A	c1(ccc(cc1)C=N[#7])[OH1]	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1911		['c1(ccc(cc1)C=N[#7])[OH1]']
Imine_one_isatin	A = any atom	[OX1]=C2C(=;!@N[#7])c3c(cccc3)N2	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1912		['[OX1]=C2C(=;!@N[#7])c3c(cccc3)N2']
Anil_di_alk_A	R1, R2 = any atom/ group; R3 = H, -CH2R, -OCH2CH2R, R = any atom/ group	[CH2,CH3]N([CH2,CH3])c1cc([H,CH2,CH3,$(O(c)[CH2][CH2,CH3])])c(-[#7])[cH]c1	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1913		['[CH2,CH3]N([CH2,CH3])c1cc([H,CH2,CH3,$(O(c)[CH2][CH2,CH3])])c(-[#7])[cH]c1']
Anil_di_alk_B	R1, R2, R3, R4, R5, R6 = any atom/ group	c1c(ccc(c1)[#6]=[#6])[#7]([CX4])[CX4]	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1914		['c1c(ccc(c1)[#6]=[#6])[#7]([CX4])[CX4]']
Pyrrole_A	R1, R2, R3, R4, R5, R6 = any atom/ group; A = any aromatic atom except carbon	[#7]1(c2acccc2)-,:[#6]([CX4])=,:[#6]-,:[#6!H0]=,:[#6]1[CX4]	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1916		['[#7]1(c2acccc2)-,:[#6]([CX4])=,:[#6]-,:[#6!H0]=,:[#6]1[CX4]']
Pyrrole_B	R1, R2, R3 = any atom/ group; A = any aromatic atom	[#7]1(c2acccc2)-,:[#6]([CX4])=,:[#6]-,:[#6H]=,:[#6]1cc	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1917		['[#7]1(c2acccc2)-,:[#6]([CX4])=,:[#6]-,:[#6H]=,:[#6]1cc']
Catechol_A	Filter family B	c1ccc(c(c1)[OH1])[OH1]	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1918		['c1ccc(c(c1)[OH1])[OH1]']
Ene_five_one_A	Filter family B	c2ccc1C(=[OX1])C(=C)C(=[OX1])c1c2	Baell, JB, Holloway, GA, 	New substructure filters for removal of pan assay interference compounds (PAINS) from screening libraries and for their exclusion in bioassays.	TA1919		['c2ccc1C(=[OX1])C(=C)C(=[OX1])c1c2']
