Name	Group	SMARTS	Author	Article	Alert_ID	Reject	Accept
Acyl halides	R = H or any carbon atom; X = F, Cl, Br, I	[CH,$([C](=[O!R,SX1!R])[#6])](=[O!R,SX1!R])[F,Cl,Br,I]	Enoch, SJ, Ellison, CM, Schultz, TW, Cronin, MT, 	A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity.	TA704		['[CH,$([C](=[O!R,SX1!R])[#6])](=[O!R,SX1!R])[F,Cl,Br,I]']
Acetates	R = H or any carbon atom; R1 = -C=C, -C#C; Ar = atom belongs to an aromatic 5- or 6-membered ring	[CH,$([C!R](=[O,SX1])[#6!R])](=[O,SX1])[O!R,SX2!R,NX3!R][$([a;r6]),$([a;r5]),$(C=C),$(C#C)]	Enoch, SJ, Ellison, CM, Schultz, TW, Cronin, MT, 	A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity.	TA705		['[CH,$([C!R](=[O,SX1])[#6!R])](=[O,SX1])[O!R,SX2!R,NX3!R][$([a;r6]),$([a;r5]),$(C=C),$(C#C)]']
Acyclic anhydrides	R = H or any carbon atom	[CH,$([C!R]([O,SX2])(=[O,SX1])[#6!R])](=[O,SX1])[O!R,SX2!R][CH,$([C!R]([O,SX2])(=[O,SX1])[#6!R])]=[O,SX1]	Enoch, SJ, Ellison, CM, Schultz, TW, Cronin, MT, 	A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity.	TA706		['[CH,$([C!R]([O,SX2])(=[O,SX1])[#6!R])](=[O,SX1])[O!R,SX2!R][CH,$([C!R]([O,SX2])(=[O,SX1])[#6!R])]=[O,SX1]']
Dialkyl carbamoylhalides	R = H or any carbon atom; X = F, Cl, Br, I	[NH2!R,$([NH!R](C=O)[#6!R]),$(N(C=O)([#6!R])[#6!R])]C(=O)[F,Cl,Br,I]	Enoch, SJ, Ellison, CM, Schultz, TW, Cronin, MT, 	A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity.	TA707		['[NH2!R,$([NH!R](C=O)[#6!R]),$(N(C=O)([#6!R])[#6!R])]C(=O)[F,Cl,Br,I]']
Sulphonyl halides	R = any carbon atom; X = F, Cl, Br, I, -C#N	[#6][Sv6X4!R](=O)(=O)[F,Cl,Br,I,$(C#N)]	Enoch, SJ, Ellison, CM, Schultz, TW, Cronin, MT, 	A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity.	TA708		['[#6][Sv6X4!R](=O)(=O)[F,Cl,Br,I,$(C#N)]']
Phosphonic acid halides	R = any carbon atom; X = F, Cl, Br, I, -C#N	[#6]O[P!R](=O)(O[#6])[F,Cl,Br,I,$(C#N)]	Enoch, SJ, Ellison, CM, Schultz, TW, Cronin, MT, 	A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity.	TA709		['[#6]O[P!R](=O)(O[#6])[F,Cl,Br,I,$(C#N)]']
Cyclopropenones	R = H, any carbon atom	[#6]1([#1,#6])=,:[#6]([#1,#6])-,:[#6]1=O	Enoch, SJ, Ellison, CM, Schultz, TW, Cronin, MT, 	A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity.	TA710		['[#6]1([#1,#6])=,:[#6]([#1,#6])-,:[#6]1=O']
β-Lactones	Strained ring systems	C1C(=O)OC1	Enoch, SJ, Ellison, CM, Schultz, TW, Cronin, MT, 	A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity.	TA711		['C1C(=O)OC1']
Thio-lactones	Strained ring systems	C1C(=O)SC1	Enoch, SJ, Ellison, CM, Schultz, TW, Cronin, MT, 	A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity.	TA712		['C1C(=O)SC1']
β-Lactams	Strained ring systems	C1C(=O)NC1	Enoch, SJ, Ellison, CM, Schultz, TW, Cronin, MT, 	A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity.	TA713		['C1C(=O)NC1']
Azlactones	Strained ring systems	C1=[O,SX2,NX2,CX3]CC(=[O,SX2])[O,SX2,NX3]1	Enoch, SJ, Ellison, CM, Schultz, TW, Cronin, MT, 	A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity.	TA714		['C1=[O,SX2,NX2,CX3]CC(=[O,SX2])[O,SX2,NX3]1']
Cyclic anhydrides	Strained ring systems	[#6R,#8R,#16X2R][#6R](=[O,SX1])[#8R,#16X2R][#6R]([#6,#8R,#16X2])=[#8,#16X1]	Enoch, SJ, Ellison, CM, Schultz, TW, Cronin, MT, 	A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity.	TA715		['[#6R,#8R,#16X2R][#6R](=[O,SX1])[#8R,#16X2R][#6R]([#6,#8R,#16X2])=[#8,#16X1]']
Isocyanates	R = any atom	[NX2]=[CX2]=[OX1]	Enoch, SJ, Ellison, CM, Schultz, TW, Cronin, MT, 	A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity.	TA716		['[NX2]=[CX2]=[OX1]']
Isothiocyanates	R = any atom	[NX2]=[CX2]=[SX1]	Enoch, SJ, Ellison, CM, Schultz, TW, Cronin, MT, 	A review of the electrophilic reaction chemistry involved in covalent protein binding relevant to toxicity.	TA717		['[NX2]=[CX2]=[SX1]']
