Name	Group	SMARTS	Author	Article	Alert_ID	Reject	Accept
4halo_pyrimidine_2_6EWG	Linkage = 'NR' (PRI = 0, PSI = 3.12)	n1c([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[n;R1]c([F,Cl,Br,I])cc1([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1714		['n1c([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[n;R1]c([F,Cl,Br,I])cc1([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])']
phos_serine_warhead	Linkage = 'NR' (PRI = 0, PSI = NA)	NC(COP(O)(O)=O)C(O)=O	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1715		['NC(COP(O)(O)=O)C(O)=O']
phos_threonine_warhead	Linkage = 'NR' (PRI = 0, PSI = NA)	NC(C(C)OP(O)(O)=O)C(O)=O	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1716		['NC(C(C)OP(O)(O)=O)C(O)=O']
phos_tyrosine_warhead	Linkage = 'NR' (PRI = 0, PSI = NA)	NC(Cc1ccc(OP(O)(O)=O)cc1)C(O)=O	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1717		['NC(Cc1ccc(OP(O)(O)=O)cc1)C(O)=O']
sulphonyl_cyanide	Linkage = 'NR' (PRI = 0, PSI = NA)	S(=O)(=O)C#N	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1718		['S(=O)(=O)C#N']
trifluoroacetate_thioester	Linkage = 'NR' (PRI = 0, PSI = NA)	C(F)(F)(F)C(=O)S	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1719		['C(F)(F)(F)C(=O)S']
2halo_pyrazine_5EWG	Linkage = 'LOW' (PRI = 0.11, PSI = 1)	[n;R1]1c([F,Cl,Br,I])[c;!$(c-N)]nc([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[c;!$(c-N)]1	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1720		['[n;R1]1c([F,Cl,Br,I])[c;!$(c-N)]nc([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])[c;!$(c-N)]1']
activated_4mem_ring	Linkage = 'LOW' (PRI = 0.15, PSI = 5)	[#6]1~[$(C(=O)),$(S(=O))]~[O,S,N]~[$(C(=O)),$(S(=O))]1	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1721		['[#6]1~[$(C(=O)),$(S(=O))]~[O,S,N]~[$(C(=O)),$(S(=O))]1']
halo_5heterocycle_bis_EWG	Linkage = 'NR' (PRI = 0.19, PSI = 2)	[n,o,s]1c([$(S(=O)(=O)),$([F,Cl]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])c([$(S(=O)(=O)),$([F,Cl]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])nc1([Cl,Br,I])	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1722		['[n,o,s]1c([$(S(=O)(=O)),$([F,Cl]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])c([$(S(=O)(=O)),$([F,Cl]),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O))])nc1([Cl,Br,I])']
hydroxamate_warhead	Linkage = 'MED' (PRI = 0.24, PSI = 3.67)	C([N;H1]([O;D1]))=O	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1723		['C([N;H1]([O;D1]))=O']
thiol_warhead	Linkage = 'MED' (PRI = 0.27, PSI = 4.55)	NC(C[S;D1])C(O)=O	Pearce, BC, Sofia, MJ, Good, AC, Drexler, DM, Stock, DA, 	An empirical process for the design of high-throughput screening deck filters.	TA1724		['NC(C[S;D1])C(O)=O']
