Name	Group	SMARTS	Author	Article	Alert_ID	Reject	Accept
Haloanhydrides	X=F,Cl,Br,I	[F,Cl,Br,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]	ChemDiv, 	Reactive, unstable, and often toxic chemical groups by ChemDiv	TA475		['[F,Cl,Br,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]']
Acylimidazoles		[#6][CX3](=[OX1])n1cncc1	ChemDiv, 	Reactive, unstable, and often toxic chemical groups by ChemDiv	TA476		['[#6][CX3](=[OX1])n1cncc1']
Acylbenzotriazoles		[#6][CX3](=[OX1])n1nnc2ccccc12	ChemDiv, 	Reactive, unstable, and often toxic chemical groups by ChemDiv	TA477		['[#6][CX3](=[OX1])n1nnc2ccccc12']
Anhydrides and mixed anhydrides		[CX3](=[OX1])[OX2][CX3](=[OX1])	ChemDiv, 	Reactive, unstable, and often toxic chemical groups by ChemDiv	TA478		['[CX3](=[OX1])[OX2][CX3](=[OX1])']
Phosphorus halogen derivatives (1)	X=F,Cl,Br,I	[Pv5X4](=[OX1])([F,Cl,Br,I])([#6])[#6]	ChemDiv, 	Reactive, unstable, and often toxic chemical groups by ChemDiv	TA479		['[Pv5X4](=[OX1])([F,Cl,Br,I])([#6])[#6]']
Phosphorus halogen derivatives (2)	X=F,Cl,Br,I	[Pv5X4](=[OX1])([F,Cl,Br,I])([#8])[#6]	ChemDiv, 	Reactive, unstable, and often toxic chemical groups by ChemDiv	TA480		['[Pv5X4](=[OX1])([F,Cl,Br,I])([#8])[#6]']
Phosphorus halogen derivatives (3)	X=F,Cl,Br,I	[Pv5X4](=[OX1])([F,Cl,Br,I])([#8])[#8]	ChemDiv, 	Reactive, unstable, and often toxic chemical groups by ChemDiv	TA481		['[Pv5X4](=[OX1])([F,Cl,Br,I])([#8])[#8]']
Phosphorus halogen derivatives (4)	X=F,Cl,Br,I	[Pv5X4](=[OX1])([F,Cl,Br,I])([#7])[#6]	ChemDiv, 	Reactive, unstable, and often toxic chemical groups by ChemDiv	TA482		['[Pv5X4](=[OX1])([F,Cl,Br,I])([#7])[#6]']
Phosphorus halogen derivatives (5)	X=F,Cl,Br,I	[Pv5X4]([F,Cl,Br,I])([#6])([#6])=[SX1]	ChemDiv, 	Reactive, unstable, and often toxic chemical groups by ChemDiv	TA483		['[Pv5X4]([F,Cl,Br,I])([#6])([#6])=[SX1]']
Phosphorus halogen derivatives (6)	X=F,Cl,Br,I	[Pv5X4]([#8])([#6])([F,Cl,Br,I])(=[SX1])	ChemDiv, 	Reactive, unstable, and often toxic chemical groups by ChemDiv	TA484		['[Pv5X4]([#8])([#6])([F,Cl,Br,I])(=[SX1])']
