Name	Group	SMARTS	Author	Article	Alert_ID	Reject	Accept
Acid halides	R = any atom/ group; X = F, Cl, Br	[F,Cl,Br][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA222		['[F,Cl,Br][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]']
Acid azides	R = any atom/ group	[CX3](=[OX1])[$([NX2]=[NX2+]=[NX1-]),$(N=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA223		['[CX3](=[OX1])[$([NX2]=[NX2+]=[NX1-]),$(N=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]']
Sulphonyl halides	R = alkyl, aryl; X = Cl, Br	[#6][Sv6X4](=[OX1])(=[OX1])[Cl,Br]	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA224		['[#6][Sv6X4](=[OX1])(=[OX1])[Cl,Br]']
Sulphonyl azides	R = any atom/ group	[Sv6X4](=[OX1])(=[OX1])[$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N)]	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA225		['[Sv6X4](=[OX1])(=[OX1])[$([NX2]=[NX2+]=[NX1-]),$([NX2]=[NX2+]=N)]']
Acid anhydrides	R = any atom/ group	[CX3](=[OX1])[OX2][CX3](=[OX1])	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA226		['[CX3](=[OX1])[OX2][CX3](=[OX1])']
Diacyl peroxides	R = any atom/ group	[CX3](=[OX1])[OX2][OX2][CX3](=[OX1])	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA227		['[CX3](=[OX1])[OX2][OX2][CX3](=[OX1])']
Phenyl esters	R = alkyl, aryl; R1 = any atom/ group	[cR1]1([OX2][CX3](=[OX1])[#6])[cR1][cR1][cR1][cR1][cR1]1	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA228		['[cR1]1([OX2][CX3](=[OX1])[#6])[cR1][cR1][cR1][cR1][cR1]1']
Isocyanates	R = any atom/ group	[NX2]=[CX2]=[OX1]	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA229		['[NX2]=[CX2]=[OX1]']
¦Â-Lactams	R = any atom/ group	[NX3]1[CX4][CX4][CX3]1(=[OX1])	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA231		['[NX3]1[CX4][CX4][CX3]1(=[OX1])']
Thioesters	R = any atom/ group	[CX3](=[SX1])[SX2]	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA232		['[CX3](=[SX1])[SX2]']
Haloalkanes	R = alkyl; X = Cl, Br, I	[CX4][Cl,Br,I]	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA233		['[CX4][Cl,Br,I]']
Dialkylsulfates/ sulfonates	R = alkyl, aryl	[$([#6][OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6]),$([#6][Sv6X4](=[OX1])(=[OX1])[OX2][#6])]	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA234		['[$([#6][OX2][Sv6X4](=[OX1])(=[OX1])[OX2][#6]),$([#6][Sv6X4](=[OX1])(=[OX1])[OX2][#6])]']
N-Trihalomethyl imides	R = any atom/ group; X = Cl, Br, I	[CX3](=[OX1])[NX3]([CX4]([Cl,Br,I])([Cl,Br,I])[Cl,Br,I])[CX3](=[OX1])	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA235		['[CX3](=[OX1])[NX3]([CX4]([Cl,Br,I])([Cl,Br,I])[Cl,Br,I])[CX3](=[OX1])']
Halogen containing di- or tri-nitro aromatics	R = any atom/ group; X = F, Cl, Br	[$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])ccc1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])ccc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cccc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])),$([F,Cl,Br]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1),$([F,Cl,Br]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])ccc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])),$([F,Cl,Br]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c1),$([F,Cl,Br]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]))]	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA236		['[$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])ccc1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])ccc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cccc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])),$([F,Cl,Br]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1),$([F,Cl,Br]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c1),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])ccc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])),$([F,Cl,Br]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c1),$([F,Cl,Br]c1cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])),$([F,Cl,Br]c1c([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])])cc1([$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]))]']
Quinones	R = any atom/ group	[$([#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])),$([#6X3]1(=[OX1])-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]1)]	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA237		['[$([#6X3]1=,:[#6X3]-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]1(=[OX1])),$([#6X3]1(=[OX1])-,:[#6X3](=[OX1])-,:[#6X3]=,:[#6X3]-,:[#6X3]=,:[#6X3]1)]']
Hydroquinones and O-alkyl precursors	R = any atom/ group; R1 = H or alkyl	[#1,CX4][OX2][cR1]1[cR1][cR1][cR1]([OX2][#1,CX4])[cR1][cR1]1	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA238		['[#1,CX4][OX2][cR1]1[cR1][cR1][cR1]([OX2][#1,CX4])[cR1][cR1]1']
Catechols and O-alkyl precursors	R = any atom/ group; R1 = H or alkyl	[#1,CX4][OX2][cR1]1[cR1]([OX2][#1,CX4])[cR1][cR1][cR1][cR1]1	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA239		['[#1,CX4][OX2][cR1]1[cR1]([OX2][#1,CX4])[cR1][cR1][cR1][cR1]1']
¦Á, ¦Â-Unsaturated aldehydes, amides, esters and ketones	R = H, C, N, O (not OH); R1 = not a heteroatom; R2 = not aryl (unless R = H)	[$([CX3]([#6,$([NX3]([CX3]=[OX1])([#6])[#6]),$([OX2]([CX3]=[OX1])[#6]);!$([OH][CX3]=[OX1]);!$([O-][CX3]=[OX1])])(=[OX1])[CX3]([#6,#1])=[CX3]([!a])([!a])),$([CX3H1](=[OX1])[CX3]([#6,#1])=[CX3])]	Barratt, MD, Basketter, DA, Chamberlain, M, Admans, GD, Langowski, JJ, 	An expert system rulebase for identifying contact allergens.	TA240		['[$([CX3]([#6,$([NX3]([CX3]=[OX1])([#6])[#6]),$([OX2]([CX3]=[OX1])[#6]);!$([OH][CX3]=[OX1]);!$([O-][CX3]=[OX1])])(=[OX1])[CX3]([#6,#1])=[CX3]([!a])([!a])),$([CX3H1](=[OX1])[CX3]([#6,#1])=[CX3])]']
