Name	SMARTS	Contrib
C1	[CH4]	-7.688178021751864e-17
C1	[CH3]C	0.3308894243042799
C1	[CH2](C)C	0.24741166987222596
C2	[CH](C)(C)C	0.14120640287323366
C2	[C](C)(C)(C)C	0.046660754413252487
C3	[CH3][N,O,P,S,F,Cl,Br,I]	0.1238392595776834
C3	[CH2X4]([N,O,P,S,F,Cl,Br,I])[A;!#1]	0.13802090688752047
C4	[CH1X4]([N,O,P,S,F,Cl,Br,I])([A;!#1])[A;!#1]	0.10716329441897743
C4	[CH0X4]([N,O,P,S,F,Cl,Br,I])([A;!#1])([A;!#1])[A;!#1]	-0.01929165225898631
C5	[C]=[!C;A;!#1]	-0.0014692256800972123
C6	[CH2]=C	0.41680405069870097
C6	[CH1](=C)[A;!#1]	0.09647411072059436
C6	[CH0](=C)([A;!#1])[A;!#1]	0.18641739954033265
C6	[C](=C)=C	497207714429.4065
C7	[CX2]#[A;!#1]	0.11750867544312132
C8	[CH3]c	0.10941932380172137
C9	[CH3]a	0.2046865052099678
C10	[CH2X4]a	0.0718484043075247
C11	[CHX4]a	-0.024308470210265803
C12	[CH0X4]a	-0.2614924739518024
C13	[cH0]-[A;!C;!N;!O;!S;!F;!Cl;!Br;!I;!#1]	940440813109.9467
C14	[c][#9]	0.05460004173832031
C15	[c][#17]	0.41193596734565135
C16	[c][#35]	3720593680172.832
C17	[c][#53]	0.5831923562720718
C18	[cH]	0.18303578908011553
C19	[c](:a)(:a):a	0.2283105764531787
C20	[c](:a)(:a)-a	0.14783418861996922
C21	[c](:a)(:a)-C	0.18572291519318537
C22	[c](:a)(:a)-N	0.28701752103664135
C23	[c](:a)(:a)-O	0.391265577658655
C24	[c](:a)(:a)-S	0.16033109381418806
C25	[c](:a)(:a)=[C,N,O]	-0.6051749102085252
C26	[C](=C)(a)[A;!#1]	0.3444366455078125
C26	[C](=C)(c)a	-0.309600830078125
C26	[CH1](=C)a	0.2704010009765625
C26	[C]=c	-558972114843.6776
C27	[CX4][A;!C;!N;!O;!P;!S;!F;!Cl;!Br;!I;!#1]	-250664394283.939
CS	[#6]	0.307861328125
H1	[#1][#6,#1]	-1299757332738.57
H2	[#1]O[CX4,c]	372662664923.10486
H2	[#1]O[!C;!N;!O;!S]	-253653321546.2289
H2	[#1][!C;!N;!O]	236388163864.64142
H3	[#1][#7]	-73835805117.55666
H3	[#1]O[#7]	-373893603221.4323
H4	[#1]OC=[#6,#7,O,S]	-14328296424.613297
H4	[#1]O[O,S]	-79971185047.38777
HS	[#1]	88545732946.16245
N1	[NH2+0][A;!#1]	-0.22043609619140625
N2	[NH+0]([A;!#1])[A;!#1]	-0.25390625
N3	[NH2+0]a	-0.281982421875
N4	[NH1+0]([!#1;A,a])a	-0.23748779296875
N5	[NH+0]=[!#1;A,a]	24470119691.789654
N6	[N+0](=[!#1;A,a])[!#1;A,a]	-0.34375
N7	[N+0]([A;!#1])([A;!#1])[A;!#1]	-0.33489990234375
N8	[N+0](a)([!#1;A,a])[A;!#1]	-0.28863525390625
N8	[N+0](a)(a)a	-155441449117.64566
N9	[N+0]#[A;!#1]	-0.23681640625
N10	[NH3,NH2,NH;+,+2,+3]	-1.198822021484375
N11	[n+0]	-0.1724853515625
N12	[n;+,+2,+3]	-0.3655548095703125
N13	[NH0;+,+2,+3]([A;!#1])([A;!#1])([A;!#1])[A;!#1]	-0.6794281005859375
N13	[NH0;+,+2,+3](=[A;!#1])([A;!#1])[!#1;A,a]	-0.252471923828125
N13	[NH0;+,+2,+3](=[#6])=[#7]	-15261881241.841318
N14	[N;+,+2,+3]#[A;!#1]	0.29976654052734375
N14	[N;-,-2,-3]	-0.217803955078125
N14	[N;+,+2,+3](=[N;-,-2,-3])=N	1.1243400573730469
NS	[#7]	-1.3596725463867188
O1	[o]	0.4983367919921875
O2	[OH,OH2]	-0.4859619140625
O3	[O]([A;!#1])[A;!#1]	-0.11944580078125
O4	[O](a)[!#1;A,a]	-0.3677978515625
O5	[O]=[#7,#8]	0.61114501953125
O5	[OX1;-,-2,-3][#7]	-0.2570953369140625
O6	[OX1;-,-2,-2][#16]	-0.4556884765625
O6	[O;-0]=[#16;-0]	0.285858154296875
O12	[O-]C(=O)	-1.91485595703125
O7	[OX1;-,-2,-3][!#1;!N;!S]	-0.88037109375
O8	[O]=c	0.04412841796875
O9	[O]=[CH]C	0.12824630737304688
O9	[O]=C(C)([A;!#1])	-0.3875732421875
O9	[O]=[CH][N,O]	-0.2731895446777344
O9	[O]=[CH2]	0.0
O9	[O]=[CX2]=O	0.0
O10	[O]=[CH]c	-0.33074951171875
