Name	SMARTS	Reject	Accept
3681_1190	Clc1ccc(COc2ccc(Br)cc2C=C2C(=O)NC(=O)NC2=O)cc1		['Clc1ccc(COc2ccc(Br)cc2C=C2C(=O)NC(=O)NC2=O)cc1']
4854_0030	NC(=N)Nc1nc(cs1)c1ccc(O)c(O)c1		['NC(=N)Nc1nc(cs1)c1ccc(O)c(O)c1']
1687_0217	Clc1ccccc1c1nnc(NC(=O)c2cccs2)s1		['Clc1ccccc1c1nnc(NC(=O)c2cccs2)s1']
4896_5245	Brc1ccc2NC(=O)C(=Cc3cccc(OCC=C)c3)c2c1		['Brc1ccc2NC(=O)C(=Cc3cccc(OCC=C)c3)c2c1']
C155_0360	CC(C)CC(NC(=O)C1CCCCC1)C(=O)Nc1cc(C)cc(C)c1		['CC(C)CC(NC(=O)C1CCCCC1)C(=O)Nc1cc(C)cc(C)c1']
4695_1149	O1c2ccccc2C(c2ccccc12)n1nnc2ccccc12		['O1c2ccccc2C(c2ccccc12)n1nnc2ccccc12']
2110_0302	CCOc1cc(C=C2SC(=S)N(NC(=O)c3ccccc3Cl)C2=O)ccc1O		['CCOc1cc(C=C2SC(=S)N(NC(=O)c3ccccc3Cl)C2=O)ccc1O']
4112_3656	CN(C)c1ccc(Nc2nc(cs2)c2ccc(Cl)cc2)cc1		['CN(C)c1ccc(Nc2nc(cs2)c2ccc(Cl)cc2)cc1']
C310_1061	COc1ccc(C=c2sc3ccc(cc3n(C)c2=O)C(=O)NCc2ccccc2)cc1		['COc1ccc(C=c2sc3ccc(cc3n(C)c2=O)C(=O)NCc2ccccc2)cc1']
C801_0362	Fc1ccc(cc1)n1ncc2c(=O)n(CC(=O)N3CCN(CC3)c3ccccc3)cnc12		['Fc1ccc(cc1)n1ncc2c(=O)n(CC(=O)N3CCN(CC3)c3ccccc3)cnc12']
K781_3644	[O-]=N(=O)c1cc(ccc1N1CCN(CC1)c1ccccn1)C(=O)NCc1cccs1		['[O-]=N(=O)c1cc(ccc1N1CCN(CC1)c1ccccn1)C(=O)NCc1cccs1']
0831_0436	O=C(Nc1nc(cs1)c1ccccc1)c1ccccc1		['O=C(Nc1nc(cs1)c1ccccc1)c1ccccc1']
Bisindolylmalemide_i	[CH3][N]([CH3])[C][C][C][n]1[c][c]([C]2=[C]([C](=O)[N][C]2=O)[c]3[c][n]([CH3])[c]4[c][c][c][c][c]34)[c]5[c][c][c][c][c]15		['[CH3][N]([CH3])[C][C][C][n]1[c][c]([C]2=[C]([C](=O)[N][C]2=O)[c]3[c][n]([CH3])[c]4[c][c][c][c][c]34)[c]5[c][c][c][c][c]15']
3643_1650	Cc1ccc(C=C(C#N)c2nc3ccccc3c(=O)[nH]2)cc1		['Cc1ccc(C=C(C#N)c2nc3ccccc3c(=O)[nH]2)cc1']
C224_5057	Cc1ccc(NC(=O)c2ccc(NC(=O)CCS(=O)(=O)c3cccs3)cc2)cc1		['Cc1ccc(NC(=O)c2ccc(NC(=O)CCS(=O)(=O)c3cccs3)cc2)cc1']
8003_5245	Oc1ccc(cc1)N1C(=O)c2cc3ccccc3c(c3ccccc3)c2C1=O		['Oc1ccc(cc1)N1C(=O)c2cc3ccccc3c(c3ccccc3)c2C1=O']
3331_3149	Clc1ccc(cc1)N=C1C(=O)Nc2ccc(Br)cc12		['Clc1ccc(cc1)N=C1C(=O)Nc2ccc(Br)cc12']
1687_0292	Brc1ccc(cc1)c1nnc(NC(=O)c2cccs2)s1		['Brc1ccc(cc1)c1nnc(NC(=O)c2cccs2)s1']
4264_0007	Oc1ccccc1C=NN=C1NC(=O)C(Cc2ccc(Cl)cc2)S1		['Oc1ccccc1C=NN=C1NC(=O)C(Cc2ccc(Cl)cc2)S1']
