Name	SMARTS	Reject	Accept
O=C1C=CC(=O)C=C1	O=C1C=CC(=O)C=C1		['O=C1C=CC(=O)C=C1']
c1oc(=S)sc1	c1oc(=[O,S])sc1		['c1oc(=[O,S])sc1']
O=C1OCCS1	O=[#6]1[o,O][#6]@[#6][s,S]1		['O=[#6]1[o,O][#6]@[#6][s,S]1']
SC#N	SC#N		['SC#N']
[OH]c1ccc(O)cc1	[OH]a1aaa(O)aa1		['[OH]a1aaa(O)aa1']
O=C1CCC(=O)C=C1	O=C1CCC(=O)C=C1		['O=C1CCC(=O)C=C1']
O=C1C=CCC=C1Br	O=C1C=CCC=C1[F,Cl,Br,I]		['O=C1C=CCC=C1[F,Cl,Br,I]']
C=CS	C=[C;R0]S		['C=[C;R0]S']
C=CCl	C=C[Cl,Br,I]		['C=C[Cl,Br,I]']
c1cccc2nonc12	c1cccc2nonc12		['c1cccc2nonc12']
Oc1ccc2nc(F)cnc2c1	[N,OH]c1ccc2nc([c,F])c[c,n]c2c1		['[N,OH]c1ccc2nc([c,F])c[c,n]c2c1']
[OH]c1ccc(N)cc1	[OH]a1aaa([n,N;R0])aa1		['[OH]a1aaa([n,N;R0])aa1']
Nc1cccs1	[N;R0]a1caas1		['[N;R0]a1caas1']
Sc1ccccc1N	[s,S;R0;!$(S(=O)(=O)N)]a1a([n,N;R0])aaaa1		['[s,S;R0;!$(S(=O)(=O)N)]a1a([n,N;R0])aaaa1']
C(=S)S	[#6]C(=S)S		['[#6]C(=S)S']
SC1=NCCS1	SC1=NCC[N,S]1		['SC1=NCC[N,S]1']
n1ncnc2C(=O)NC(=O)Nc	n1ncnc2c(=O)nc(=O)nc12		['n1ncnc2c(=O)nc(=O)nc12']
c1nsnc1	c1n[o,s]nc1		['c1n[o,s]nc1']
[SH]	[#6;!$(C=C);!$(CO);!$(CN)][SH]		['[#6;!$(C=C);!$(CO);!$(CN)][SH]']
CBr	[C;!$(C=C)][Br,I]		['[C;!$(C=C)][Br,I]']
C1=CN=NC(=O)C1I	c1cnnc(=O)c1[Cl,Br,I]		['c1cnnc(=O)c1[Cl,Br,I]']
NC=S	[n,N][c,C;R1]=S		['[n,N][c,C;R1]=S']
C1CSCN1	C1CSCN1		['C1CSCN1']
Nc1nccs1	Nc1nccs1		['Nc1nccs1']
NC=S	[c,C][C;R0](=S)N		['[c,C][C;R0](=S)N']
S=O	[S;!$(S(=O)=O)]=O		['[S;!$(S(=O)=O)]=O']
C(=O)S	[#6]C(=O)S		['[#6]C(=O)S']
Nc1ccc2ncccc2c1	[N;R0]c1ccc2ncccc2c1		['[N;R0]c1ccc2ncccc2c1']
CC(=S)N	N=CS		['N=CS']
c1ccc2C(=O)CCCc2c1	c1ccccc1[C;R1](=O)[c,C]		['c1ccccc1[C;R1](=O)[c,C]']
[OH]c1ccccc1O	[OH]a1aaaaa1O		['[OH]a1aaaaa1O']
NC(=S)S	NC(=S)S		['NC(=S)S']
[OH]c1cc(N)ccc1	Oa1aa([n,N;R1])aaa1		['Oa1aa([n,N;R1])aaa1']
C=CC(=O)OC	C=CC(=O)O[c,C]		['C=CC(=O)O[c,C]']
O=C1CCCCO1	[o,O;R1][c,C]=O		['[o,O;R1][c,C]=O']
SCC=O	S[c,C][c,C]=O		['S[c,C][c,C]=O']
CN=NC	[N;R0]=[N;R0;!$([N+])]		['[N;R0]=[N;R0;!$([N+])]']
C#CBr	C#C[F,Cl,Br,I]		['C#C[F,Cl,Br,I]']
C=CC(=O)C	C=CC(=O)[c,C]		['C=CC(=O)[c,C]']
SCS	[s,S][#6][s,S]		['[s,S][#6][s,S]']
Sc1ccc(N)cc1	[s,S;R0;!$(S(=O)(=O)N)]a1aaa([n,N;R0])aa1		['[s,S;R0;!$(S(=O)(=O)N)]a1aaa([n,N;R0])aa1']
