Name	SMARTS	Reject	Accept
NCCN	[$(c1[nv3X2][c,n][c,n,s][c,n]1),$(c2[nv3X2][c,n][c,n][c,n][c,n]2)]-[$(c1[nv3X2][c,n][c,n,s][c,n]1),$(c2[nv3X2][c,n][c,n][c,n][c,n]2)]		['[$(c1[nv3X2][c,n][c,n,s][c,n]1),$(c2[nv3X2][c,n][c,n][c,n][c,n]2)]-[$(c1[nv3X2][c,n][c,n,s][c,n]1),$(c2[nv3X2][c,n][c,n][c,n][c,n]2)]']
Picolylamines_A	[$([NX3][CH2]c1ncnc([NX3])c1),$([NX3][CH2]c1nccc([NX3])n1)]		['[$([NX3][CH2]c1ncnc([NX3])c1),$([NX3][CH2]c1nccc([NX3])n1)]']
Picolylamines_B	[$([NX3]([H,CX4!H0!R])([H,CX4!H0!R])[C!H0!R]c1[nv3X2]n([H,CH3])cc1),$([NX3]([H,CX4!H0!R])([H,CX4!H0!R])[C!H0!R]c1[nv3X2]ccn1[H,CH3])]		['[$([NX3]([H,CX4!H0!R])([H,CX4!H0!R])[C!H0!R]c1[nv3X2]n([H,CH3])cc1),$([NX3]([H,CX4!H0!R])([H,CX4!H0!R])[C!H0!R]c1[nv3X2]ccn1[H,CH3])]']
Picolylamines_C	c1cccnc1[CH2!R][NX3!R]([H,CH3])[CH2!R]		['c1cccnc1[CH2!R][NX3!R]([H,CH3])[CH2!R]']
Bis-picolylamines	[nv3X2]c([c,s,n])[CX4][NX3]([H,C])[CX4]c([c,s,n])[nv3X2,nv3X3H1]		['[nv3X2]c([c,s,n])[CX4][NX3]([H,C])[CX4]c([c,s,n])[nv3X2,nv3X3H1]']
Alkylimidazoles_A	[cR1]1[nv3X2R1][cHR1][cHR1][nR1]1[CH2!R][CH2!R][$([NX3!H0]([CH2!R])[$([SX4](=[OX1])(=[OX1])c),$([CX3](=[OX1])[CH2][O,N]),$([CH2!R])]),$([CH2!R][nr5,$([NX3!H0]([CH2!R])[$([SX4](=[OX1])(=[OX1])c),$([CX3](=[OX1])[CH2][O,N]),$([CH2!R])])]),$([CH2!R][CH2!R][NX3!H0][$([SX4](=[OX1])(=[OX1])c),$([CX3](=[OX1])[CH2][O,N]),$([CH2!R])])]		['[cR1]1[nv3X2R1][cHR1][cHR1][nR1]1[CH2!R][CH2!R][$([NX3!H0]([CH2!R])[$([SX4](=[OX1])(=[OX1])c),$([CX3](=[OX1])[CH2][O,N]),$([CH2!R])]),$([CH2!R][nr5,$([NX3!H0]([CH2!R])[$([SX4](=[OX1])(=[OX1])c),$([CX3](=[OX1])[CH2][O,N]),$([CH2!R])])]),$([CH2!R][CH2!R][NX3!H0][$([SX4](=[OX1])(=[OX1])c),$([CX3](=[OX1])[CH2][O,N]),$([CH2!R])])]']
Alkylimidazoles_B	[nv3X2]1cncc1[CX4][CX4][NH2]		['[nv3X2]1cncc1[CX4][CX4][NH2]']
Heterylimidazoles	[nv3X3]1c(-c[nv3X2])c[nv3X2]c1		['[nv3X3]1c(-c[nv3X2])c[nv3X2]c1']
Diarylamines	c([nv3X2])(c)[NX3H1!R]c([nv3X2])(c)		['c([nv3X2])(c)[NX3H1!R]c([nv3X2])(c)']
Diarylmethanes	[$(c1[nX2][c,n][c,n][c,n]1),$([cr6][nX2r6])][CX4H2!R][$(c2[nX2][c,n][c,n][c,n]2),$([cr6][nX2r6])]		['[$(c1[nX2][c,n][c,n][c,n]1),$([cr6][nX2r6])][CX4H2!R][$(c2[nX2][c,n][c,n][c,n]2),$([cr6][nX2r6])]']
