Name	SMARTS	Reject	Accept
Anilines, anilides	c1ccccc1[NX3]([#1,CX4!R,$(c1ccccc1),$([CX3](=[OX1])[#6]),$([CX3](=[OX1])[OX2][#6]),$([SX4](=[OX1])(=[OX1])[#1,#6])])[#1,CX4!R,$(c1ccccc1),$([CX3](=[OX1])[#6]),$([CX3](=[OX1])[OX2][#6]),$([SX4](=[OX1])(=[OX1])[#1,#6])]		['c1ccccc1[NX3]([#1,CX4!R,$(c1ccccc1),$([CX3](=[OX1])[#6]),$([CX3](=[OX1])[OX2][#6]),$([SX4](=[OX1])(=[OX1])[#1,#6])])[#1,CX4!R,$(c1ccccc1),$([CX3](=[OX1])[#6]),$([CX3](=[OX1])[OX2][#6]),$([SX4](=[OX1])(=[OX1])[#1,#6])]']
Hydrazine, hydrazides	[#6,#1][NX3H1][NX3H1][#6,#1]		['[#6,#1][NX3H1][NX3H1][#6,#1]']
Nitrobenzenes	a[$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]		['a[$([NX3](=[OX1])=[OX1]),$([NX3+](=[OX1])[O-])]']
Dibenzazepines	N([CX4])([CX4])C1=Nc2ccccc2[NX3H1]c3c1cccc3		['N([CX4])([CX4])C1=Nc2ccccc2[NX3H1]c3c1cccc3']
Benzylamines	[#1,CX4!R][NX3]([#1,CX4!R])[CH2]c1ccccc1		['[#1,CX4!R][NX3]([#1,CX4!R])[CH2]c1ccccc1']
Propargyl amines	[#1,CX4,$(c1ccccc1)][CX2]#[CX2][NX3]([#1,CX4,$(c1ccccc1)])[#1,CX4,$(c1ccccc1)]		['[#1,CX4,$(c1ccccc1)][CX2]#[CX2][NX3]([#1,CX4,$(c1ccccc1)])[#1,CX4,$(c1ccccc1)]']
Cyclopropyl amines	[CX4]1[CX4][CX4]1[NX3]([#1,CX4,$(c1ccccc1)])[#1,CX4,$(c1ccccc1)]		['[CX4]1[CX4][CX4]1[NX3]([#1,CX4,$(c1ccccc1)])[#1,CX4,$(c1ccccc1)]']
N-Substituted-4-aryl-1,2,3,6-tetrahydropyridines	[NX3]1([CX4!R])[CX4][CX3]=[CX3](c2c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c2([#1,#6,F,Cl,Br,I]))[CX4][CX4]1		['[NX3]1([CX4!R])[CX4][CX3]=[CX3](c2c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c2([#1,#6,F,Cl,Br,I]))[CX4][CX4]1']
N-Substituted-4-arylpiperidin-4-ol	[NX3]1([CX4!R])[CX4][CX4][CX4]([OH1])(c2c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c2([#1,#6,F,Cl,Br,I]))[CX4][CX4]1		['[NX3]1([CX4!R])[CX4][CX4][CX4]([OH1])(c2c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c([#1,#6,F,Cl,Br,I])c2([#1,#6,F,Cl,Br,I]))[CX4][CX4]1']
Formamides	[CX3H1](=[OX1])[NX3H1][#6]		['[CX3H1](=[OX1])[NX3H1][#6]']
