Name	SMARTS	Reject	Accept
> 2 ester groups	C(=O)O[C,H1].C(=O)O[C,H1].C(=O)O[C,H1]		['C(=O)O[C,H1].C(=O)O[C,H1].C(=O)O[C,H1]']
2-halo pyridine	n1c([F,Cl,Br,I])cccc1		['n1c([F,Cl,Br,I])cccc1']
acid halide	C(=O)[Cl,Br,I,F]		['C(=O)[Cl,Br,I,F]']
acyclic C=C-O	C=[C!r]O		['C=[C!r]O']
acyl cyanide	N#CC(=O)		['N#CC(=O)']
acyl hydrazine	C(=O)N[NH2]		['C(=O)N[NH2]']
aldehyde	[CH1](=O)		['[CH1](=O)']
Aliphatic long chain	[R0;D2][R0;D2][R0;D2][R0;D2]		['[R0;D2][R0;D2][R0;D2][R0;D2]']
alkyl halide	[CX4][Cl,Br,I]		['[CX4][Cl,Br,I]']
amidotetrazole	c1nnnn1C=O		['c1nnnn1C=O']
aniline	c1cc([NH2])ccc1		['c1cc([NH2])ccc1']
azepane	[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1		['[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1']
Azido group	N=[N+]=[N-]		['N=[N+]=[N-]']
Azo group	N#N		['N#N']
azocane	[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1		['[CH2R2]1N[CH2R2][CH2R2][CH2R2][CH2R2][CH2R2][CH2R2]1']
benzidine	[cR2]1[cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2][cR2]1[cR2]2[cR2][cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2]2		['[cR2]1[cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2][cR2]1[cR2]2[cR2][cR2][cR2]([Nv3X3,Nv4X4])[cR2][cR2]2']
betaketo/anhydride	[C,c](=O)[CX4,CR0X3,O][C,c](=O)		['[C,c](=O)[CX4,CR0X3,O][C,c](=O)']
biotin analogue	C12C(NC(N1)=O)CSC2		['C12C(NC(N1)=O)CSC2']
Carbo cation/anion	[C+,c+,C-,c-]		['[C+,c+,C-,c-]']
catechol	c1c([OH])c([OH,NH2,NH])ccc1		['c1c([OH])c([OH,NH2,NH])ccc1']
charged oxygen or sulfur atoms	[O+,o+,S+,s+]		['[O+,o+,S+,s+]']
chinone	C1(=[O,N])C=CC(=[O,N])C=C1		['C1(=[O,N])C=CC(=[O,N])C=C1']
chinone	C1(=[O,N])C(=[O,N])C=CC=C1		['C1(=[O,N])C(=[O,N])C=CC=C1']
conjugated nitrile group	C=[C!r]C#N		['C=[C!r]C#N']
