Name	SMARTS	Reject	Accept
Anil_di_alk_C	c1c(ccc(c1)N([CX4])[H,CX4])O[CX4]		['c1c(ccc(c1)N([CX4])[H,CX4])O[CX4]']
Anil_di_alk_D	c1c(ccc(c1)[CX4][$([#8!H0]),$([#6]=[#6!H0]),$([#7][CX4])])[#7]([CX4])[CX4]		['c1c(ccc(c1)[CX4][$([#8!H0]),$([#6]=[#6!H0]),$([#7][CX4])])[#7]([CX4])[CX4]']
Anil_di_alk_E	[$([#6!H0][#7]([CH2,CH3])c1[cH]c([H,CH2,CH3])c([CH,CH2][C!H0])[cH][cH]1),$([#6!H0][#7]([CH2,CH3])c1[cH]c([H,CH2,CH3])c([CH3])[cH][cH]1)]		['[$([#6!H0][#7]([CH2,CH3])c1[cH]c([H,CH2,CH3])c([CH,CH2][C!H0])[cH][cH]1),$([#6!H0][#7]([CH2,CH3])c1[cH]c([H,CH2,CH3])c([CH3])[cH][cH]1)]']
Ene_five_het_A	C1(=C)C=N[!#1!#6]C1=[OX1]		['C1(=C)C=N[!#1!#6]C1=[OX1]']
Ene_six_het_A	[#6]1([#6](~[!#1!#6]~[#6][!#1!#6][#6]1=[!#1!#6])~[!#1!#6])=[#6!R!H0]		['[#6]1([#6](~[!#1!#6]~[#6][!#1!#6][#6]1=[!#1!#6])~[!#1!#6])=[#6!R!H0]']
Hzone_phenol_A	c1ccc(c(c1)[#8!H0])[#6]=[#7][#7]		['c1ccc(c(c1)[#8!H0])[#6]=[#7][#7]']
Quinone_A	[!#1!#6]=[#6]1-,:[#6]=,:[#6]-,:[#6](=[!#1!#6])-,:[#6]=,:[#6]1		['[!#1!#6]=[#6]1-,:[#6]=,:[#6]-,:[#6](=[!#1!#6])-,:[#6]=,:[#6]1']
Azo_A	[N!R]=N		['[N!R]=N']
Imine_one_A	[#6][#6](=[!#1!#6!R])[#6](=[!#1!#6!R])[#6,$(S(=O)=O)]		['[#6][#6](=[!#1!#6!R])[#6](=[!#1!#6!R])[#6,$(S(=O)=O)]']
Mannich_A	N[CX4]c1c([OH1])cccc1		['N[CX4]c1c([OH1])cccc1']
Ene_rhod_A	N1C(=S)SC(=C)C1=O		['N1C(=S)SC(=C)C1=O']
Hzone_phenol_B	c1(ccc(cc1)C=N[#7])[OH1]		['c1(ccc(cc1)C=N[#7])[OH1]']
Imine_one_isatin	[OX1]=C2C(=;!@N[#7])c3c(cccc3)N2		['[OX1]=C2C(=;!@N[#7])c3c(cccc3)N2']
Anil_di_alk_A	[CH2,CH3]N([CH2,CH3])c1cc([H,CH2,CH3,$(O(c)[CH2][CH2,CH3])])c(-[#7])[cH]c1		['[CH2,CH3]N([CH2,CH3])c1cc([H,CH2,CH3,$(O(c)[CH2][CH2,CH3])])c(-[#7])[cH]c1']
Anil_di_alk_B	c1c(ccc(c1)[#6]=[#6])[#7]([CX4])[CX4]		['c1c(ccc(c1)[#6]=[#6])[#7]([CX4])[CX4]']
Pyrrole_A	[#7]1(c2acccc2)-,:[#6]([CX4])=,:[#6]-,:[#6!H0]=,:[#6]1[CX4]		['[#7]1(c2acccc2)-,:[#6]([CX4])=,:[#6]-,:[#6!H0]=,:[#6]1[CX4]']
Pyrrole_B	[#7]1(c2acccc2)-,:[#6]([CX4])=,:[#6]-,:[#6H]=,:[#6]1cc		['[#7]1(c2acccc2)-,:[#6]([CX4])=,:[#6]-,:[#6H]=,:[#6]1cc']
Catechol_A	c1ccc(c(c1)[OH1])[OH1]		['c1ccc(c(c1)[OH1])[OH1]']
Ene_five_one_A	c2ccc1C(=[OX1])C(=C)C(=[OX1])c1c2		['c2ccc1C(=[OX1])C(=C)C(=[OX1])c1c2']
