Name	SMARTS	Reject	Accept
Acyl halides	[CH,$([C](=[O!R,SX1!R])[#6])](=[O!R,SX1!R])[F,Cl,Br,I]		['[CH,$([C](=[O!R,SX1!R])[#6])](=[O!R,SX1!R])[F,Cl,Br,I]']
Acetates	[CH,$([C!R](=[O,SX1])[#6!R])](=[O,SX1])[O!R,SX2!R,NX3!R][$([a;r6]),$([a;r5]),$(C=C),$(C#C)]		['[CH,$([C!R](=[O,SX1])[#6!R])](=[O,SX1])[O!R,SX2!R,NX3!R][$([a;r6]),$([a;r5]),$(C=C),$(C#C)]']
Acyclic anhydrides	[CH,$([C!R]([O,SX2])(=[O,SX1])[#6!R])](=[O,SX1])[O!R,SX2!R][CH,$([C!R]([O,SX2])(=[O,SX1])[#6!R])]=[O,SX1]		['[CH,$([C!R]([O,SX2])(=[O,SX1])[#6!R])](=[O,SX1])[O!R,SX2!R][CH,$([C!R]([O,SX2])(=[O,SX1])[#6!R])]=[O,SX1]']
Dialkyl carbamoylhalides	[NH2!R,$([NH!R](C=O)[#6!R]),$(N(C=O)([#6!R])[#6!R])]C(=O)[F,Cl,Br,I]		['[NH2!R,$([NH!R](C=O)[#6!R]),$(N(C=O)([#6!R])[#6!R])]C(=O)[F,Cl,Br,I]']
Sulphonyl halides	[#6][Sv6X4!R](=O)(=O)[F,Cl,Br,I,$(C#N)]		['[#6][Sv6X4!R](=O)(=O)[F,Cl,Br,I,$(C#N)]']
Phosphonic acid halides	[#6]O[P!R](=O)(O[#6])[F,Cl,Br,I,$(C#N)]		['[#6]O[P!R](=O)(O[#6])[F,Cl,Br,I,$(C#N)]']
Cyclopropenones	[#6]1([#1,#6])=,:[#6]([#1,#6])-,:[#6]1=O		['[#6]1([#1,#6])=,:[#6]([#1,#6])-,:[#6]1=O']
β-Lactones	C1C(=O)OC1		['C1C(=O)OC1']
Thio-lactones	C1C(=O)SC1		['C1C(=O)SC1']
β-Lactams	C1C(=O)NC1		['C1C(=O)NC1']
Azlactones	C1=[O,SX2,NX2,CX3]CC(=[O,SX2])[O,SX2,NX3]1		['C1=[O,SX2,NX2,CX3]CC(=[O,SX2])[O,SX2,NX3]1']
