Name	SMARTS	Reject	Accept
Haloanhydrides	[F,Cl,Br,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]		['[F,Cl,Br,I][CX3](=[OX1])[#1,*&!$([OH1])&!$([SH1])]']
Acylimidazoles	[#6][CX3](=[OX1])n1cncc1		['[#6][CX3](=[OX1])n1cncc1']
Acylbenzotriazoles	[#6][CX3](=[OX1])n1nnc2ccccc12		['[#6][CX3](=[OX1])n1nnc2ccccc12']
Anhydrides and mixed anhydrides	[CX3](=[OX1])[OX2][CX3](=[OX1])		['[CX3](=[OX1])[OX2][CX3](=[OX1])']
Phosphorus halogen derivatives (1)	[Pv5X4](=[OX1])([F,Cl,Br,I])([#6])[#6]		['[Pv5X4](=[OX1])([F,Cl,Br,I])([#6])[#6]']
Phosphorus halogen derivatives (2)	[Pv5X4](=[OX1])([F,Cl,Br,I])([#8])[#6]		['[Pv5X4](=[OX1])([F,Cl,Br,I])([#8])[#6]']
Phosphorus halogen derivatives (3)	[Pv5X4](=[OX1])([F,Cl,Br,I])([#8])[#8]		['[Pv5X4](=[OX1])([F,Cl,Br,I])([#8])[#8]']
Phosphorus halogen derivatives (4)	[Pv5X4](=[OX1])([F,Cl,Br,I])([#7])[#6]		['[Pv5X4](=[OX1])([F,Cl,Br,I])([#7])[#6]']
Phosphorus halogen derivatives (5)	[Pv5X4]([F,Cl,Br,I])([#6])([#6])=[SX1]		['[Pv5X4]([F,Cl,Br,I])([#6])([#6])=[SX1]']
Phosphorus halogen derivatives (6)	[Pv5X4]([#8])([#6])([F,Cl,Br,I])(=[SX1])		['[Pv5X4]([#8])([#6])([F,Cl,Br,I])(=[SX1])']
Phosphorus halogen derivatives (7)	[Pv5X4](=[SX1])([F,Cl,Br,I])([#16])[#6]		['[Pv5X4](=[SX1])([F,Cl,Br,I])([#16])[#6]']
Phosphorus V derivatives	[Pv5X4]([!#1])([!#1])([!#1])=[NX2]		['[Pv5X4]([!#1])([!#1])([!#1])=[NX2]']
Isocyanates	[NX2]=[CX2]=[OX1]		['[NX2]=[CX2]=[OX1]']
Isothiocyanates	[NX2]=[CX2]=[SX1]		['[NX2]=[CX2]=[SX1]']
Carbodiimides	[#6][NX2]=[CX2]=[NX2][#6]		['[#6][NX2]=[CX2]=[NX2][#6]']
Thiocyanates	[SX2][CX2]#[NX1]		['[SX2][CX2]#[NX1]']
Sulfonylhalides	[#6][Sv6X4](=[OX1])(=[OX1])[F,Cl,Br,I]		['[#6][Sv6X4](=[OX1])(=[OX1])[F,Cl,Br,I]']
Sulfonylanhydrides	[#6][Sv6X4](=[OX1])(=[OX1])[OX2][Sv6X4](=[OX1])(=[OX1])[#6]		['[#6][Sv6X4](=[OX1])(=[OX1])[OX2][Sv6X4](=[OX1])(=[OX1])[#6]']
Alkylsulfonates	[#6][Sv6X4](=[OX1])(=[OX1])[OX2][CX4]		['[#6][Sv6X4](=[OX1])(=[OX1])[OX2][CX4]']
Alkylsulfates	[#6,#1][OX2,OH1][Sv6X4](=[OX1])(=[OX1])[OX2][CX4]		['[#6,#1][OX2,OH1][Sv6X4](=[OX1])(=[OX1])[OX2][CX4]']
All types of 3-valent phosphorus and similar (1)	[Pv3X3]([#8])([#8])[#8]		['[Pv3X3]([#8])([#8])[#8]']
All types of 3-valent phosphorus and similar (2)	[Pv3X3]([#8])([#8])[F,Cl,Br,I]		['[Pv3X3]([#8])([#8])[F,Cl,Br,I]']
All types of 3-valent phosphorus and similar (3)	[Pv3X3]([#8])([#6])[F,Cl,Br,I]		['[Pv3X3]([#8])([#6])[F,Cl,Br,I]']
All types of 3-valent phosphorus and similar (4)	[Pv3X3]([#6])([#6])[F,Cl,Br,I]		['[Pv3X3]([#6])([#6])[F,Cl,Br,I]']
All types of 3-valent phosphorus and similar (5)	[Pv3X3]([#6])([#6])([#6])		['[Pv3X3]([#6])([#6])([#6])']
All types of 3-valent phosphorus and similar (6)	[Pv3X3]([#8])([#7])[F,Cl,Br,I]		['[Pv3X3]([#8])([#7])[F,Cl,Br,I]']
All types of 3-valent phosphorus and similar (7)	[Pv3X3]([#7])([#7])[F,Cl,Br,I]		['[Pv3X3]([#7])([#7])[F,Cl,Br,I]']
All types of 3-valent phosphorus and similar (8)	[#16][Pv3X3]([#6])[F,Cl,Br,I]		['[#16][Pv3X3]([#6])[F,Cl,Br,I]']
All types of 3-valent phosphorus and similar (9)	[Pv3X3]([#7])([#7])[#7]		['[Pv3X3]([#7])([#7])[#7]']
All types of 3-valent phosphorus and similar (10)	[PX4+]([#6])([#6])([#6])([#6])		['[PX4+]([#6])([#6])([#6])([#6])']
Hydroxamic acid haloanhydrides	[CX3]([#6])([F,Cl,Br])=[NX2][#8]		['[CX3]([#6])([F,Cl,Br])=[NX2][#8]']
Halothioanhydrides	[#6][CX3](=[SX1])[F,Cl,Br,I]		['[#6][CX3](=[SX1])[F,Cl,Br,I]']
Halocarbonates	[#8][CX3](=[OX1])[F,Cl,Br,I]		['[#8][CX3](=[OX1])[F,Cl,Br,I]']
Halocarbamates	[#7][CX3](=[OX1])[F,Cl,Br,I]		['[#7][CX3](=[OX1])[F,Cl,Br,I]']
Isocyanides	[#6][$([NX2+]#[CX1-]),$([NX2]#[CX1])]		['[#6][$([NX2+]#[CX1-]),$([NX2]#[CX1])]']
Azides	[$([NX2]=[NX2+]=[NX1-]),$(N=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]		['[$([NX2]=[NX2+]=[NX1-]),$(N=[NX2+]=N),$([NX2-]-[NX2+]#[NX1])]']
