Name	SMARTS	Reject	Accept
1_2_aminothiazole	s1ccnc1[$([NX3H2&!R]),$([NX3H1&!R][c,C]),$([NX3&!R]([c,C])[c,C])]		['s1ccnc1[$([NX3H2&!R]),$([NX3H1&!R][c,C]),$([NX3&!R]([c,C])[c,C])]']
1_2_dicarbonyl_oxalyl	[$([CD3&!R][#6,#8,#7,F,Cl,I,Br]),$([CD3&!R][#1]),$([CD2&!R])](=[OD1&!R])[$([CD3&!R][#6,#8,#7,F,Cl,Br,I]),$([CD3&!R][#1]),$([CD2&!R])]=[OD1&!R]		['[$([CD3&!R][#6,#8,#7,F,Cl,I,Br]),$([CD3&!R][#1]),$([CD2&!R])](=[OD1&!R])[$([CD3&!R][#6,#8,#7,F,Cl,Br,I]),$([CD3&!R][#1]),$([CD2&!R])]=[OD1&!R]']
1_2_thiazol_3_one	S1[NX3H1]C(=[OX1])C=C1		['S1[NX3H1]C(=[OX1])C=C1']
1_aminobenzotriazole	Nn1nnc2ccccc12		['Nn1nnc2ccccc12']
2_phenylbenzimidazole	c2ccc3nc(c4ccccc4)[nX3H1]c3c2		['c2ccc3nc(c4ccccc4)[nX3H1]c3c2']
3_amino_9_ethylcarbazoles	CCN1C2=C(C=C(C=C2)N)C3=CC=CC=C31		['CCN1C2=C(C=C(C=C2)N)C3=CC=CC=C31']
3_methylindole	C1=C([CX4H3])c2ccccc2[NX3H1]1		['C1=C([CX4H3])c2ccccc2[NX3H1]1']
4_subst_n_alkyltetrahydropyridines	[a]C1=CCN([A])CC1		['[a]C1=CCN([A])CC1']
4_vinyl_pyridine	c1cnccc1[CX3&!R]=[CX3&!R]		['c1cnccc1[CX3&!R]=[CX3&!R]']
6_membered_aromatic_sulfur	[SD2]1[#7,#6]=CC(=[OX1&!R])C=[#7,#6]1		['[SD2]1[#7,#6]=CC(=[OX1&!R])C=[#7,#6]1']
9_aminoacridine	c1cccc2c([NX3&!RH2])c3ccccc3nc12		['c1cccc2c([NX3&!RH2])c3ccccc3nc12']
acetal_1_in_ring	C1([SX2&!R][#6&!R])=NCCS1		['C1([SX2&!R][#6&!R])=NCCS1']
acetal_both_in_ring	C1(=[NX2&!R][CX2&!R]#[NX1&!R])SCCS1		['C1(=[NX2&!R][CX2&!R]#[NX1&!R])SCCS1']
acetylene_alkyne	[#1,#6]C#CC		['[#1,#6]C#CC']
acrylamide	[$([NX3H2&!R]),$([NX3H1&!R][c,C]),$([NX3&!R]([c,C])[c,C])][CX3&!R](=[OX1])[CX3&!R]=[$([CX3H2&!R]),$([CX3H1&!R][c,C]),$([CX3H0&!R]([c,C])[c,C])]		['[$([NX3H2&!R]),$([NX3H1&!R][c,C]),$([NX3&!R]([c,C])[c,C])][CX3&!R](=[OX1])[CX3&!R]=[$([CX3H2&!R]),$([CX3H1&!R][c,C]),$([CX3H0&!R]([c,C])[c,C])]']
